List of American Championship Car winners - Wikipedia 
===================================================== 

National Championships chart 
============================ 
Driver     |     Nation     |     AAA (1905) (1916) (1920-1955)     |     USAC (1956-1979)     |     CART (1979-2003)     |     Champ Car World Series (2004-2007)     |     IRL IndyCar Series (1996-present)     |     Combined Total 
Gary Bettenhausen | United States | 0 | 0 | 6 | 0 | 0 | 0 | 6 
Graham Rahal | United States | 0 | 0 | 0 | 0 | 0 | 6 | 6 
James Hinchcliffe | Canada | 0 | 0 | 0 | 0 | 0 | 6 | 6 
Earl Cooper | United States | 5 | 0 | 0 | 0 | 0 | 0 | 5 
Dario Resta | United Kingdom | 5 | 0 | 0 | 0 | 0 | 0 | 5 
Johnny Aitken | United States | 5 | 0 | 0 | 0 | 0 | 0 | 5 
Patrick Carpentier | Canada | 0 | 0 | 0 | 4 | 1 | 0 | 5 
Scott Goodyear | Canada | 0 | 0 | 0 | 2 | 0 | 3 | 5 
Greg Ray | United States | 0 | 0 | 0 | 0 | 0 | 5 | 5 
A. J. Allmendinger | United States | 0 | 0 | 0 | 0 | 5 | 0 | 5 
Nigel Mansell | United Kingdom | 0 | 0 | 0 | 5 | 0 | 0 | 5 
Teo Fabi | Italy | 0 | 0 | 0 | 5 | 0 | 0 | 5 
Eddie Cheever | United States | 0 | 0 | 0 | 0 | 0 | 5 | 5 
Jacques Villeneuve | Canada | 0 | 0 | 1 | 4 | 0 | 0 | 5 
Greg Moore (race car driver) | Canada | 0 | 0 | 0 | 5 | 0 | 0 | 5 
Jim McElreath | United States | 0 | 0 | 5 | 0 | 0 | 0 | 5 
Jud Larson | United States | 0 | 0 | 5 | 0 | 0 | 0 | 5 
Wally Dallenbach, Sr. | United States | 0 | 0 | 5 | 0 | 0 | 0 | 5 
Roger McCluskey | United States | 0 | 0 | 5 | 0 | 0 | 0 | 5 
Mike Mosley | United States | 0 | 0 | 4 | 1 | 0 | 0 | 5 
Bennett Hill | United States | 5 | 0 | 0 | 0 | 0 | 0 | 5 
Walt Ader | United States | 1 | 4 | 0 | 0 | 0 | 0 | 5 
Barney Oldfield | United States | 5 | 0 | 0 | 0 | 0 | 0 | 5 
Ray Keech | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Dave Lewis (racing driver) | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Frank Elliott (racing driver) | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Roscoe Sarles | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Eddie Hearne | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Bryan Herta | United States | 0 | 0 | 0 | 2 | 0 | 2 | 4 
Jim Hurtubise | United States | 0 | 0 | 4 | 0 | 0 | 0 | 4 
Jack McGrath (racing driver) | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Sam Hanks | United States | 3 | 0 | 1 | 0 | 0 | 0 | 4 
Bob Sweikert | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Chuck Stevenson | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Myron Fohr | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Leon Duray | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Shorty Cantlon | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Al Rogers (racing driver) (page does not exist) | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Billy Winn | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Bill Vukovich | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Kelly Petillo | United States | 4 | 0 | 0 | 0 | 0 | 0 | 4 
Mike Conway | United Kingdom | 0 | 0 | 0 | 0 | 0 | 4 | 4 
Takuma Sato | Japan | 0 | 0 | 0 | 0 | 0 | 4 | 4 
Eddie Rickenbacker | United States | 3 | 0 | 0 | 0 | 0 | 0 | 3 
Buddy Rice | United States | 0 | 0 | 0 | 0 | 0 | 3 | 3 
Tony Stewart | United States | 0 | 0 | 0 | 0 | 0 | 3 | 3 
Ed Carpenter (racing driver) | United States | 0 | 0 | 0 | 0 | 0 | 3 | 3 
André Ribeiro (racing driver) | Brazil | 0 | 0 | 0 | 3 | 0 | 0 | 3 
Max Papis | Italy | 0 | 0 | 0 | 3 | 0 | 0 | 3 
Mark Blundell | United Kingdom | 0 | 0 | 0 | 3 | 0 | 0 | 3 
George Amick | United States | 0 | 0 | 3 | 0 | 0 | 0 | 3 
Len Sutton | United States | 0 | 0 | 3 | 0 | 0 | 0 | 3 
Mark Donohue | United States | 0 | 0 | 3 | 0 | 0 | 0 | 3 
Jim Rathmann | United States | 0 | 0 | 3 | 0 | 0 | 0 | 3 
Pat Flaherty (racing driver) | United States | 1 | 0 | 2 | 0 | 0 | 0 | 3 
Walt Faulkner | United States | 3 | 0 | 0 | 0 | 0 | 0 | 3 
Jimmy Davies | United States | 3 | 0 | 0 | 0 | 0 | 0 | 3 
Billy Arnold (racing driver) | United States | 3 | 0 | 0 | 0 | 0 | 0 | 3 
Lee Wallard | United States | 2 | 1 | 0 | 0 | 0 | 0 | 3 
