List of Vancouver Canucks players - Wikipedia
=============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Bob Cook | Canada | 1970–1971
Matt Cooke | Canada | 1998–2008
Frank Corrado | Canada | 2012–2015
Mike Corrigan | Canada | 1970–1972
Patrick Coulombe | Canada | 2006–2008
Geoff Courtnall | Canada | 1990–1995
Russ Courtnall | Canada | 1994–1997
Larry Courville | Canada | 1995–1998
Jeff Cowan | Canada | 2006–2008
Craig Coxe | United States | 1984–19881989–1991
Adam Cracknell | Canada | 2015–2016
Joseph Cramarossa | Canada | 2016–2017
Murray Craven | Canada | 1992–1994
Marc Crawford | Canada | 1981–1987
Troy Crowder | Canada | 1996–1997
Ray Cullen | Canada | 1970–1971
Jassen Cullimore | Canada | 1994–1997
Tony Currie | Canada | 1981–1984
J. J. Daigneault | Canada | 1984–1986
Bob Dailey | Canada | 1973–1977
Zac Dalpe | Canada | 2013–2014
Rob Davison | Canada | 2008–2009
Brandon DeFazio | Canada | 2014–2015
Ron Delorme | Canada | 1981–1985
Michael Del Zotto | Canada | 2017–2019
Ab DeMarco, Jr. | United States | 1974–1976
Pavol Demitra | Slovakia | 2008–2010
Bill Derlago | Canada | 1978–1980
Guillaume Desbiens | Canada | 2009–2011
Raphael Diaz | Switzerland | 2013–2014
Gerald Diduck | Canada | 1990–1995
Robert Dirk | Canada | 1990–1994
Gary Doak | Canada | 1970–1972
Derek Dorsett | Canada | 2014–2018
Jim Dowd | United States | 1995–1996
Nic Dowd | United States | 2017–2018
Harold Druken | Canada | 1999–2003
Mike Duco | Canada | 2011–2012
Dale Dunbar | United States | 1985–1986
Dave Dunn | Canada | 1973–1975
Andrew Ebbett | Canada | 2011–2013
Alexander Edler | Sweden | 2006–2019
Christian Ehrhoff | Germany | 2009–2011
Neil Eisenhut | Canada | 1993–1994
Anders Eldebrink | Sweden | 1981–1983
Loui Eriksson | Sweden | 2016–2019
Roland Eriksson | Sweden | 1978–1979
Emerson Etem | United States | 2015–2016
Fedor Fedorov | Russia | 2002–2004
Taylor Fedun | Canada | 2015–2016
Tom Fergus | United States | 1991–1993
Benn Ferriero | United States | 2013–2014
Zack Fitzgerald | United States | 2007–2008
Rory Fitzpatrick | United States | 2006–2007
Rob Flockhart | Canada | 1976–1979
Peter Folco | Canada | 1973–1974
Dave Fortier | Canada | 1976–1977
Curt Fraser | United States | 1978–1983
Alex Friesen | Canada | 2015–2016
Dave Gagner | Canada | 1998–1999
Sam Gagner | Canada | 2017–2019
Jason Garrison | Canada | 2012–2014
Brad Gassoff | Canada | 1975–1979
Adam Gaudette | United States | 2017–2019
Brendan Gaunce | Canada | 2015–2019
Martin Gelinas | Canada | 1993–1998
Don Gibson | Canada | 1990–1991
Jere Gillis | United States | 1977–19811983–1985
Tanner Glass | Canada | 2009–2011
Danny Gloor | Canada | 1973–1974
Brian Glynn | Germany | 1993–1994
Nikolay Goldobin | Russia | 2016–2019
Larry Goodenough | Canada | 1976–1980
Andrew Gordon | Canada | 2012–2013
Robb Gordon | Canada | 1998–1999
Lee Goren | Canada | 2005–2007
John Gould | Canada | 1973–1977
Larry Gould | Canada | 1973–1974
Michael Grabner | Austria | 2009–2010
Thomas Gradin | Sweden | 1978–1986
Marc-Andre Gragnani | Canada | 2011–2012
Markus Granlund | Finland | 2015–2019
Hilliard Graves | Canada | 1976–1979
Josh Green | Canada | 2005–2007
Randy Gregg | Canada | 1991–1992
Alexandre Grenier | Canada | 2015–2017
Martin Grenier | Canada | 2003–2004
John Grisdale | Canada | 1974–1979
Erik Gudbranson | Canada | 2016–2019
Jocelyn Guevremont | Canada | 1971–1975
Kevan Guy | Canada | 1988–1991
Murray Hall | Canada | 1970–1972
Taylor Hall | Canada | 1983–1987
Doug Halward | Canada | 1980–1987
Dan Hamhuis | Canada | 2010–2016
Ken Hammond | Canada | 1991–1992
Jannik Hansen | Denmark | 2007–2017
Jim Hargreaves | Canada | 1970–1973
Ed Hatoum | Lebanon | 1970–1971
Greg Hawgood | Canada | 1999–2001
Todd Hawkins | Canada | 1988–1990
Steve Hazlett | Canada | 1979–1980
Bret Hedican | United States | 1993–1999
Bryan Helmer | Canada | 2000–2003
Darby Hendrickson | United States | 1998–2000
Chris Higgins | United States | 2010–2016
Jan Hlavac | Czech Republic | 2001–2003
Ivan Hlinka | Czech Republic | 1981–1983
Cody Hodgson | Canada | 2010–2012
Dan Hodgson | Canada | 1986–1989
Josh Holden | Canada | 1998–2001
Bruce Holloway | Canada | 1984–1985
Philip Holm | Sweden | 2017–2018
Randy Holt | Canada | 1978–1979
Ron Homenuke | Canada | 1972–1973
Darcy Hordichuk | Canada | 2008–2010
Bo Horvat | Canada | 2014–2019
Willie Huber | Germany | 1987–1989
Greg Hubick | Canada | 1979–1980
John Hughes | Canada | 1979–1980
Quinn Hughes | United States | 2018–2019
Tim Hunter | Canada | 1992–1996
Bob Hurlburt | Canada | 1974–1975
Jamie Huscroft | Canada | 1997–1999
Ben Hutton | Canada | 2015–2019
Brad Isbister | Canada | 2007–2008
Dane Jackson | Canada | 1993–1995
Jason Jaffray | Canada | 2007–2009
Nicklas Jensen | Denmark | 2012–2015
Dan Johnson | Canada | 1970–1972
Ryan Johnson | Canada | 2008–2010
Mikko Jokela | Finland | 2002–2003
Jussi Jokinen | Finland | 2017–2018
Chris Joseph | Canada | 1996–19971999–2000
Derek Joslin | Canada | 2012–2013
Ed Jovanovski | Canada | 1998–2006
Sheldon Kannegiesser | Canada | 1977–1978
Steve Kariya | Canada | 1999–2002
Zack Kassian | Canada | 2011–2015
Pat Kavanagh | Canada | 2000–2004
Mike Keane | Canada | 2003–2004
Dennis Kearns | Canada | 1971–1981
Ronalds Kenins | Latvia | 2014–2016
Dan Kesa | Canada | 1993–1994
Ryan Kesler | United States | 2003–2014
Ian Kidd | United States | 1987–1989
Jason King | Canada | 2002–2004
Mark Kirton | Canada | 1982–1985
Trent Klatt | United States | 1998–2003
Joe Kocur | Canada | 1995–1996
Zenith Komarniski | Canada | 1999–2003
Jerry Korab | Canada | 1973–1974
Don Kozak | Canada | 1978–1979
Lukas Krajicek | Czech Republic | 2006–2008
Jason Krog | Canada | 2008–2009
Robert Kron | Czech Republic | 1990–1993
Vladimir Krutov | Russia | 1989–1990
Frantisek Kucera | Czech Republic | 1995–1997
Stu Kulak | Canada | 1982–1987
Orland Kurtenbach | Canada | 1970–1974
Justin Kurtz | Canada | 2001–2002
Tom Kurvers | United States | 1990–1991
Joseph LaBate | United States | 2016–2017
Scott Lachance | United States | 2000–2002
Nathan LaFayette | Canada | 1993–1995
Kellan Lain | Canada | 2013–2014
Bobby Lalonde | Canada | 1971–1977
Mike Lampman | Canada | 1973–1974
Darren Langdon | Canada | 2002–2003
Jean-Marc Lanthier | Canada | 1983–1988
Rick Lanz | Czech Republic | 1980–1987
Maxim Lapierre | Canada | 2010–2013
Igor Larionov | Russia | 1989–1992
Philip Larsen | Denmark | 2016–2017
Paul Lawless | Canada | 1987–1988
John LeBlanc | Canada | 1986–1988
Grant Ledyard | Canada | 1997–1998
Brad Leeb | Canada | 1999–2002
Gary Leeman | Canada | 1994–1995
Brendan Leipsic | Canada | 2017–2019
Josh Leivo | Canada | 2018–2019
Moe Lemay | Canada | 1981–1987
Richard Lemieux | Canada | 1971–1974
Tim Lenardon | Canada | 1989–1990
Trevor Letowski | Canada | 2001–2003
Don Lever | Canada | 1972–1980
Craig Levie | Canada | 1986–1987
Doug Lidster | Canada | 1983–1993
Trevor Linden | Canada | 1988–19982001–2008
Lars Lindgren | Sweden | 1978–1984
Mats Lindgren | Sweden | 2002–2003
Dave Logan | Canada | 1979–1981
Brian Loney | Canada | 1995–1996
Dave Lowry | Canada | 1985–1988
Brad Lukowich | Canada | 2009–2010
Jyrki Lumme | Finland | 1989–1998
Len Lunde | Canada | 1970–1971
Gary Lupul | Canada | 1979–1986
Al MacAdam | Canada | 1984–1985
Blair MacDonald | Canada | 1980–1983
Brett MacDonald | Canada | 1987–1988
Zack MacEwen | Canada | 2018–2019
Jim Mair | Canada | 1972–1975
Wayne Maki | Canada | 1970–1973
Manny Malhotra | Canada | 2010–2013
Marek Malik | Czech Republic | 2002–2004
Dean Malkoc | Canada | 1995–1996
Mark Mancari | Canada | 2011–2012
Kris Manery | Canada | 1979–1980
Bob Manno | Canada | 1976–1981
Mario Marois | Canada | 1980–1981
Grant Martin | Canada | 1983–1985
Pit Martin | Canada | 1977–1979
Shawn Matthias | Canada | 2013–2015
Brad Maxwell | Canada | 1986–1987
Brad May | Canada | 1997–20002002–2004
Jay Mazur | Canada | 1988–1992
Chris McAllister | Canada | 1997–1999
Andrew McBain | Canada | 1989–1992
Bryan McCabe | Canada | 1997–1999
Jared McCann | Canada | 2015–2016
Steve McCarthy | Canada | 2005–2006
Dennis McCord | Canada | 1973–1974
Joe McDonnell | Canada | 1981–1982
Evan McEneny | Canada | 2016–2017
Jack McIlhargey | Canada | 1976–1980
John McIntyre | Canada | 1993–1995
Nathan McIver | Canada | 2006–2008
Brandon McMillan | Canada | 2014–2015
Peter McNab | Canada | 1983–1985
Bryan McSheffrey | Canada | 1972–1974
Gerry Meehan | Canada | 1974–1975
Jayson Megna | United States | 2016–2018
Larry Melnyk | Canada | 1987–1990
Mark Messier | Canada | 1997–2000
Aaron Miller | United States | 2007–2008
Gerry Minor | Canada | 1979–1984
Willie Mitchell | Canada | 2006–2010
Alexander Mogilny | Russia | 1995–2000
Tomas Mojzis | Czech Republic | 2005–2006
Lars Molin | Sweden | 1981–1984
Griffen Molino | United States | 2016–2017
Sergio Momesso | Canada | 1990–1995
Garry Monahan | Canada | 1974–1978
Brad Moran | Canada | 2006–2007
Stephane Morin | Canada | 1992–1994
Brendan Morrison | Canada | 1999–2008
Dave Morrison | Canada | 1984–1985
Tyler Motte | United States | 2017–2019
Bill Muckalt | Canada | 1998–2000
Rob Murphy | Canada | 1987–1992
Bob Murray | Canada | 1974–1977
Dana Murzyn | Canada | 1990–1999
Evgeny Namestnikov | Russia | 1993–1997
Markus Naslund | Sweden | 1995–2008
Petr Nedved | Czech Republic | 1990–1993
Cam Neely | Canada | 1983–1986
Sergei Nemchinov | Russia | 1996–1997
Jim Nill | Canada | 1981–1984
Brian Noonan | United States | 1996–1998
Robert Nordmark | Sweden | 1988–1991
Lawrence Nycholat | Canada | 2008–2009
Shane O'Brien | Canada | 2008–2010
Gerry O'Flaherty | United States | 1972–1978
Paul O'Neil | United States | 1973–1974
Chris O'Sullivan | United States | 1999–2000
Evan Oberg | Canada | 2010–2011
Chris Oddleifson | Canada | 1973–1981
Gino Odjick | Canada | 1990–1998
Mattias Ohlund | Sweden | 1997–2009
Roman Oksiuta | Russia | 1994–1996
Victor Oreskovich | Canada | 2010–2012
Michel Ouellet | Canada | 2008–2009
Samuel Pahlsson | Sweden | 2011–2012
Rosaire Paiement | Canada | 1970–1972
Ryan Parent | Canada | 2010–2011
Richard Park | South Korea | 2005–2006
Tanner Pearson | Canada | 2018–2019
Michael Peca | Canada | 1993–1995
Andrey Pedan | Lithuania | 2015–2016
Barry Pederson | Canada | 1986–1990
Denis Pederson | Canada | 1999–2002
Pascal Pelletier | Canada | 2013–2014
Joel Perrault | Canada | 2010–2011
Brent Peterson | Canada | 1985–1987
Michel Petit | Canada | 1982–1988
Elias Pettersson | Sweden | 2018–2019
Matt Pettinger | Canada | 2007–20082009–2010
Steve Pinizzotto | Canada | 2012–2013
Adrien Plavsic | Canada | 1989–1995
Poul Popiel | Denmark | 1970–1972
Derrick Pouliot | Canada | 2017–2019
Tracy Pratt | United States | 1973–1976
Kevin Primeau | Canada | 1980–1981
Sean Pronger | Canada | 2003–2004
Brandon Prust | Canada | 2015–2016
Taylor Pyatt | Canada | 2006–2009
Dan Quinn | Canada | 1989–1991
Pat Quinn | Canada | 1970–1972
Brogan Rafferty | United States | 2018–2019
Dan Ratushny | Canada | 1992–1993
Mason Raymond | Canada | 2007–2013
Marc Reaume | Canada | 1970–1972
