List of Detroit Red Wings players - Wikipedia
=============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Mickey Redmond | RW | 1970–1976
Earl Reibel | C | 1953–1958
Gerry Reid | C | 1948–1949
Leo Reise | D | 1946–1952
Dan Renouf | D | 2016–2017
 |  | 
Dave Richardson | LW | 1967–1968
Steve Richmond | D | 1985–1986
Jack Riley | C | 1932–1933
James Riley | LW | 1926–1927
Bob Ritchie | LW | 1976–1978
Mattias Ritola | C | 2007–20082009–2010
Jamie Rivers | D | 2003–2006
Wayne Rivers | RW | 1961–1962
Phil Roberto | RW | 1974–1976
Doug Roberts | RW | 1965–1975
Torrie Robertson | LW | 1988–1990
Fred Robertson | D | 1933–1934
Nathan Robinson | C | 2003–2004
Luc Robitaille | LW | 2001–2003
Mike Robitaille | D | 1970–1971
Earl Roche | LW | 1934–1935
Des Roche | RW | 1934–1935
Leon Rochefort | RW | 1971–1973
Dave Rochefort | C | 1966–1967
Harvey Rockburn | D | 1929–1930
Marc Rodgers | RW | 1999–2000
Stacy Roest | C | 1998–2003
Dale Rolfe | D | 1969–1971
Roly Rossignol | RW | 1943–1946
Rolly Roulston | LW | 1935–1938
Bob Rouse | D | 1994–1998
Tom Rowe | RW | 1982–1983
Bernie Ruelle | LW | 1943–1944
Robbie Russo | D | 2016–2017
Ruslan Salei | D | 2010–2011
Borje Salming | D | 1989–1990
Barry Salovaara | D | 1974–1976
Mikael Samuelsson | RW | 2005–20092012–2014
Ulf Samuelsson | D | 1998–1999
Ed Sandford | LW | 1955–1956
Tomas Sandstrom | RW | 1996–1997
Kevin Schamehorn | RW | 1976–1980
Mathieu Schneider | D | 2002–2007
James Schoenfeld | D | 1981–1983
Dwight Schofield | D | 1976–1977
Enio Sclisizzi | LW | 1946–1952
Earl Seibert | D | 1944–1946
Richard Seiling | RW | 1986–1987
Brendan Shanahan | LW | 1996–2006
Daniel Shank | RW | 1989–1991
Jeff Sharples | D | 1986–1989
Riley Sheahan | C | 2011–2017
Doug Shedden | C | 1985–1987
Bobby Sheehan | C | 1976–1977
Timothy Sheehy | RW | 1977–1978
Frank Sheppard | C | 1927–1928
Johnny Sheppard | LW | 1926–1928
Ray Sheppard | RW | 1991–1996
John Sherf | LW | 1935–1944
Gordon Sherritt | D | 1943–1944
Jim Shires | LW | 1970–1971
Steve Short | LW | 1978–1979
Gary Shuchuk | C | 1990–1991
David Silk | RW | 1984–1985
Mike Sillinger | C | 1990–1995
Cully Simon | D | 1942–1945
Thain Simon | D | 1946–1947
Cliff Simpson | C | 1946–1948
Reg Sinclair | RW | 1952–1953
Darryl Sittler | C | 1984–1985
Bjorn Skaare | C | 1978–1979
Glen Skov | C | 1949–1955
Jiri Slegr | D | 2001–2002
Alex Smith | D | 1931–1932
Brad Smith | RW | 1980–1985
Brendan Smith | D | 2011–2017
Brian Smith | LW | 1957–1961
Carl Smith | RW | 1943–1944
Derek Smith | C | 1981–1983
Floyd Smith | RW | 1962–1968
Greg Smith | D | 1981–1986
Nakina Smith | C | 1943–1944
Richard Smith | D | 1980–1981
Ted Snell | RW | 1974–1975
Harold Snepsts | D | 1985–1988
Sandy Snow | RW | 1968–1969
Dennis Sobchuk | C | 1979–1980
Ken Solheim | LW | 1982–191983
Bob Solinger | LW | 1959–60
John Sorrell | LW | 1930–1938
Fred Speck | C | 1968–1970
Ted Speers | C | 1985–1986
Irv Spencer | D | 1963–1968
Ryan Sproul | D | 2013–20142016–2017
Andre St. Laurent | C | 1977–1984
Ron Stackhouse | D | 1971–1974
Garrett Stafford | D | 2007–2008
Ed Stankiewicz | C | 1953–1956
Wilf Starr | C | 1933–1936
Vic Stasiuk | LW | 1950–1963
Ray Staszak | RW | 1985–1986
Frank Steele | RW | 1930–1931
Pete Stemkowski | C | 1967–1971
Jack Stewart | D | 1938–1950
Gaye Stewart | LW | 1950–1951
Blair Stewart | LW | 1973–1975
Gord Strate | D | 1956–1959
Art Stratton | C | 1963–1964
Ben Street | D | 2016–2017
Brad Stuart | D | 2007–2012
Libor Sulak | D | 2018–2019
Barry Sullivan | RW | 1947–1948
Bill Sutherland | C | 1971–1972
Evgeny Svechnikov | LW | 2016–2018
John Taft | D | 1978–1979
Jean-Guy Talbot | D | 1967–1968
Chris Tancill | RW | 1991–1993
Eric Tangradi | LW | 2015–2016
Tomas Tatar | C | 2010–2018
Billy Taylor | C | 1946–1947
Tim Taylor | C | 1993–1997
Edward Taylor | LW | 1966–1967
Lorrain Thibeault | LW | 1944–1945
Steve Thomas | RW | 2003–2004
Errol Thompson | LW | 1977–1981
Bill Thomson | C | 1938–1944
Jordin Tootoo | RW | 2012–2014
Jerry Toppazzini | RW | 1955–1956
Larry Trader | D | 1982–1985
Percy Traub | D | 1927–1929
Dave Trottier | LW | 1938–1939
Dominic Turgeon | C | 2017–2019
Norm Ullman | C | 1955–1968
Garry Unger | C | 1967–1971
Eric Vail | LW | 1981–1982
Thomas Vanek | LW | 2016–20172018–2019
Rick Vasko | D | 1977–1981
Darren Veitch | D | 1985–1988
Patrick Verbeek | RW | 1999–2001
Dennis Vial | LW | 1990–1993
Doug Volmar | RW | 1969–1972
Carl Voss | C | 1932–1934
Jack Walker | LW | 1926–1928
Bob Wall | D | 1964–1972
Jesse Wallin | D | 1999–2003
Wes Walz | C | 1995–1996
Aaron Ward | D | 1993–2001
Eddie Wares | D | 1937–1943
Harry Watson | LW | 1942–1946
Bryan Watson | D | 1965–1977
Jim Watson | D | 1963–1970
Brian Watts | LW | 1975–1976
Tom Webster | RW | 1970–1980
Cooney Weiland | C | 1933–1935
Stan Weir | C | 1982–1983
Stephen Weiss | C | 2013–2015
Ian White | D | 2011–2013
Bob Whitelaw | D | 1940–1942
Ray Whitney | LW | 2003–2004
Arch Wilder | LW | 1940–1941
Bob Wilkie | D | 1990–1991
Jason Williams | C | 2000–2010
Tiger Williams | LW | 1984–1985
Fred Williams | RW | 1976–1977
Burr Williams | D | 1933–1937
Johnny Wilson | LW | 1949–1959
Rick Wilson | D | 1976–1977
Larry Wilson | C | 1949–1953
Scott Wilson | C/LW | 2017–2018
Murray Wing | D | 1973–1974
Eddie Wiseman | RW | 1932–1936
Luke Witkowski | D | 2017–2019
Benny Woit | RW | 1950–1955
Steve Wojciechowski | RW | 1944–1947
Mike Wong | C | 1975–1976
Paul Woods | C | 1977–1984
Jason Woolley | D | 2002–2006
Larry Wright | C | 1977–1978
Jason York | D | 1992–1995
Doug Young | D | 1931–1939
Howie Young | D | 1960–1968
Warren Young | C | 1985–1986
B. J. Young | RW | 1999–2000
Paul Ysebaert | LW | 1990–1993
Steve Yzerman | C | 1983–2006
Filip Zadina | RW | 2018–2019
Larry Zeidel | D | 1951–1953
Ed Zeniuk | D | 1954–1955
Henrik Zetterberg | LW | 2002–2018
Marek Zidlicky | D | 2014–2015
Rick Zombo | D | 1984–1992
Rudy Zunich | D | 1943–1944


Total Goaltenders: 91
Total Skaters: 849
