List of Pittsburgh Penguins players - Wikipedia
===============================================
Skaters
_______
Player     |     Years     
Sergei Gonchar | 2005–2010
Steve Gotaas | 1987–1988
Pat Graham | 1981–1983
Derek Grant | 2018–2019
Tuomas Gronman | 1997–1998
Kenneth Gruhl | 1987–1988
Erik Gudbranson | 2018–2019
Nate Guenin | 2009–2010
Jake Guentzel | 2016–2019
Bill Guerin | 2008–2010
Vic Hadfield | 1974–1977
Carl Hagelin | 2015–2019
Ron Hainsey | 2016–2017
Anders Hakansson | 1982–1983
Adam Hall | 2007–2008
James Hamilton | 1977–1985
David Hannan | 1981–1989
Nick Harbaruk | 1969–1973
Scott Harrington | 2014–2015
Billy Harris | 1968–1969
Kevin Hatcher | 1996–1999
Greg Hawgood | 1993–1995
Shawn Heins | 2002–2003
Bryan Hextall Jr. | 1969–1974
Bill Hicke | 1971–1972
Alex Hicks | 1996–1998
Wayne Hicks | 1967–1968
Andy Hilbert | 2005–2006
Randy Hillier | 1984–1991
Todd Hlushko | 1998–1999
Brian Holzinger | 2002–2004
Patric Hornqvist | 2014–2019
Tim Horton | 1971–1972
Marian Hossa | 2007–2008
Gregory Hotham | 1981–1985
Jan Hrdina | 1998–2003
Jiri Hrdina | 1990–1992
Tim Hrynewich | 1982–1984
Alexander Hudson | 1978–1979
Mike Hudson | 1994–1995
Patrick Hughes | 1979–1981
David Hunter | 1987–1988
Matt Hunwick | 2017–2018
Matt Hussey | 2003–2006
Andrew Hutchinson | 2010–2011
Jarome Iginla | 2012–2013
Victor Ignatjev | 1998–1999
Earl Ingarfield | 1967–1969
Richard Jackman | 2003–2006
Jaromir Jagr | 1990–2001
John Jakopin | 2001–2002
Connor James | 2007–2009
Arto Javanainen | 1984–1985
Dustin Jeffrey | 2008–2014
Grant Jennings | 1990–1995
Andreas Johansson | 1996–1998
Mathias Johansson | 2002–2003
Adam Johnson | 2018–2019
Greg Johnson | 1996–1998
Jack Johnson | 2018–2019
James Johnson | 1985–1991
Mark Johnson | 1979–1982
Nick Johnson | 2009–2011
Jussi Jokinen | 2012–2014
Stanley Jonathan | 1982–1983
Ron Jones | 1973–1974
Hans Jonsson | 1999–2003
Josh Jooris | 2017–2018
Chris Joseph | 1987–1996
Mark Kachowski | 1987–1990
Sheldon Kannegiesser | 1970–1973
Ladislav Karabin | 1993–1994
Darius Kasparaitis | 1996–2002
Rick Kehoe | 1974–1985
John Kelly | 1973–1977
Tyler Kennedy | 2007–2013
Danny Kesa | 1998–1999
Phil Kessel | 2015–2019
Rick Kessell | 1969–1973
Orest Kindrachuk | 1978–1981
Petr Klima | 1996–1997
Rob Klinkhammer | 2014–2015
Chuck Kobasew | 2013–2014
Konstantin Koltsov | 2002–2006
George Konik | 1967–1968
Chris Kontos | 1986–1988
Tom Kostopoulos | 2001–2004
Alex Kovalev | 1998–2011
Milan Kraft | 2000–2004
Frantisek Kucera | 2000–2001
Tom Kuhnhackl | 2015–2018
Chris Kunitz | 2008–2017
Joel Kwiatkowski | 2006–2007
James Kyte | 1989–1991
Yvon Labre | 1970–1974
Dan Lacouture | 2000–2003
Pete Laframboise | 1974–1975
Jean-Guy Lagace | 1968–1975
Robert Lalonde | 1972–1975
Mitch Lamoureux | 1983–1985
Robert Lang | 1997–2002
Ted Lanyon | 1967–1968
Maxim Lapierre | 2014–2015
Georges Laraque | 2006–2008
Pierre Larouche | 1974–1978
Brad Lauer | 1995–1996
Janne Laukkanen | 1999–2003
Kevin Lavallee | 1986–1987
Jamie Leach | 1989–1993
Stephen Leach | 1999–2000
Patrick Lebeau | 1998–1999
Bill Lecaine | 1968–1969
John LeClair | 2005–2007
Douglas Lecuyer | 1982–1983
Peter Lee | 1977–1983
Guillaume Lefebvre | 2002–2006
Petteri Lehto | 1984–1985
Bobby Leiter | 1971–1972
Alain Lemieux | 1986–1987
Mario Lemieux | 1984–2006
Jordan Leopold | 2009–2010
Francois Leroux | 1994–1997
Kris Letang | 2006–2019
Mark Letestu | 2009–2012
Pierre-Luc Letourneau-Leblond | 2013–2014
Lynn Libett | 1979–1981
Willy Lindstrom | 1985–1987
Richard Lintner | 2002–2003
Troy Loney | 1983–1993
David Lonsberry | 1978–1981
Ben Lovejoy | 2008–2016
Darrin Lowe | 1983–1984
Bernie Lukowich | 1973–1974
Brian Lundberg | 1982–1983
Ross Lupaschuk | 2002–2003
Gilles Lupien | 1980–1981
Jack Lynch | 1972–1974
Steve Lyon | 1976–1977
Olli Maatta | 2013–2019
Lowell MacDonald | 1970–1978
Steve MacIntyre | 2011–2013
Norm MacIver | 1994–1996
Richard Macleish | 1981–1983
Al MacNeil | 1967–1968
Peter Mahovlich | 1977–1979
Evgeni Malkin | 2006–2019
Ryan Malone | 2003–2008
William Malone | 1976–1983
Kent Manderville | 2001–2003
James Mann | 1987–1988
Maurice Mantha | 1984–1988
Paul Marshall | 1979–1981
Paul Martin | 2010–2015
Dwight Mathiasen | 1985–1988
Dick Mattiussi | 1967–1969
Bryan Maxwell | 1983–1985
Patrick Mayer | 1987–1988
Gary Mcadam | 1978–1981
Andrew McBain | 1989–1990
Dunc McCallum | 1967–1971
Jared McCann | 2018–2019
Kevin McCarthy | 1983–1985
Kevin McClelland | 1981–1984
Keith McCreary | 1967–1972
Ab McDonald | 1967–1968
Colin McDonald | 2011–2012
Joe McDonnell | 1984–1986
Al McDonough | 1971–1974
Shawn McEachern | 1991–1995
James McGeough | 1984–1987
Jay McKee | 2009–2010
Greg McKegg | 2017–2018
Steve McKenna | 2000–2004
Brian McKenzie | 1971–1972
Jim McKenzie | 1993–1995
Dave McLlwain | 1987–1996
Mike McMahon, Jr. | 1969–1970
Bob McManama | 1973–1976
Marty McSorley | 1983–1994
Michael Meeker | 1978–1979
Jayson Megna | 2013–2015
Ron Meighan | 1982–1983
Josef Melichar | 2000–2007
Eric Meloche | 2001–2004
Zbynek Michalek | 2010–2012
David Michayluk | 1991–1992
Kevin Miller | 1995–1996
Kip Miller | 1998–2001
Chris Minard | 2007–2009
Dmitri Mironov | 1995–1997
Carl Mokosak | 1986–1987
Hartland Monahan | 1977–1978
Dominic Moore | 2006–2007
