List of Nashville Predators players - Wikipedia
===============================================
Goaltenders
___________
Josh Langfeld | United States | 2007—2008
Pat Leahy | United States | 2006—2007
David Legwand | United States | 1998—2014
Mikko Lehtonen | Finland | 2006—2007
Mike Liambas | Canada | 2016—2017
Richard Lintner | Slovakia | 1999—2001
Matthew Lombardi | Canada | 2010—2011
Cameron Mann | Canada | 2002—2003
Danny Markov | Russia | 2005—2006
Brian McGrattan | Canada | 2011—2013
Jim McKenzie | Canada | 2003—2004
Cody McLeod | Canada | 2016—2018
Craig Millar | Canada | 1999—2001
Jayson More | Canada | 1998—1999
Jason Morgan | Canada | 2003—2004
Marc Moro | Canada | 1999—2002
Simon Moser | Switzerland | 2014—2015
Mark Mowers | United States | 1998—20002001—2002
Chris Mueller | United States | 2010—2013
Rem Murray | Canada | 2002—2004
Brantt Myhres | Canada | 2000—2001
Evgeny Namestnikov | Russia | 1999—2000
James Neal | Canada | 2014—2017
Stanislav Neckar | Czech Republic | 2003—2004
Jeff Nelson | Canada | 1998—1999
Scott Nichol | Canada | 2005—2009
Eric Nystrom | United States | 2013—2016
Shane O'Brien | Canada | 2010—2011
Cal O'Reilly | Canada | 2008—2012
Peter Olvecky | Slovakia | 2009—2010
Vladimir Orszagh | Slovakia | 2001—2004
Jed Ortmeyer | United States | 2007—2009
Adam Pardy | Canada | 2016—2017
P. A. Parenteau | Canada | 2016—2017
Denis Pederson | Canada | 2002—2003
Ville Peltonen | Finland | 1998—2001
Yanic Perrault | Canada | 2005—2006
Nathan Perrott | Canada | 2001—2003
Oleg Petrov | Russia | 2002—2003
Rich Peverley | Canada | 2006—2009
Antti Pihlstrom | Finland | 2007—2009
Joe Piskula | United States | 2013—2015
Rem Pitlick | United States | 2018—2019
Domenic Pittis | Canada | 2002—2003
Libor Pivko | Czech Republic | 2002—2003
Alexander Radulov | Russia | 2006—20082011—2012
Joonas Rask | Finland | 2012—2013
Mike Ribeiro | Canada | 2014—2017
Anthony Richard | Canada | 2018—2019
Zac Rinaldo | Canada | 2018—2019
Randy Robitaille | Canada | 1999—2001
Cliff Ronning | Canada | 1998—2002
Derek Roy | Canada | 2014—2015
Miikka Salomaki | Finland | 2014—2019
Mike Santorelli | Canada | 2008—20102014—2015
Yves Sarault | Canada | 2001—2002
Dave Scatchard | Canada | 2009—2010
Robert Schnabel | Czech Republic | 2001—2004
Timofei Shishkanov | Russia | 2003—2004
Mike Sillinger | Canada | 2005—2006
Jon Sim | Canada | 2002—2003
Wayne Simmonds | Canada | 2018—2019
Reid Simpson | Canada | 2001—2003
Colton Sissons | Canada | 2013—20142015-2019
Karlis Skrastins | Latvia | 1998—2003
Pavel Skrbek | Czech Republic | 2000—2002
