List of Ottawa Senators players - Wikipedia
===========================================
Goaltenders
___________
Name     |     #     |     Nationality     |     Seasons     
Elliott, Stefan | 29 | Canada | 2018–present
Elynuik, Pat | 25 | Canada | 1994–1996
Emerson, Nelson | 7 | Canada | 1998–1999
Emmons, John | 38 | United States | 1999–2001
Englund, Andreas | 39 | Sweden | 2016–present
Falk, Justin | 42 | Canada | 2018–present
Falloon, Pat | 12 | Canada | 1997–1998
Filatov, Nikita | 21 | Russia | 2011–2012
Filimonov, Dmitri | 55 | Russia | 1993–1994
Fisher, Mike | 12 | Canada | 1999–2011
Foligno, Nick | 71 | Canada | 2007–2012
Forbes, Colin | 17 | Canada | 1999–2001
Formenton, Alex | 59 | Canada | 2017–present
Fortier, Marc | 9 | Canada | 1992–1993
Freer, Mark | 11 | Canada | 1992–1993
Gáborík, Marián | 12 | Slovakia | 2017–present
Gagnon, Sean | 3 | Canada | 2001–2002
Gardiner, Bruce | 25 | Canada | 1996–2000
Gaudreau, Rob | 10 | United States | 1994–1996
Gibbons, Brian | 17 | United States | 2018–present
Gilroy, Matt | 97 | United States | 2011–2012
Glynn, Brian | 23 | Germany | 1993–1994
Goldmann, Erich | 59 | Germany | 1999–2000
Goloubef, Cody | 28 | Canada | 2018–present
Gomez, Scott | 23 | United States | 2015–2016
Gonchar, Sergei | 55 | Russia | 2010–2013
Greening, Colin | 14 | Canada | 2010–2016
Grant, Derek | 57 | Canada | 2012–2015
Gruden, John | 24 | United States | 1998–2000
Gryba, Eric | 62 | Canada | 2012–2015
Guerard, Daniel | 46 | Canada | 1994–1995
Gustafsson, Per | 3 | Sweden | 1997–1998
Hale, David | 55 | United States | 2010–2011
Hamel, Denis | 17 | Canada | 2003–2008
Hammond, Ken | 5 | Canada | 1992–1993
Hamr, Radek | 5 | Czech Republic | 1993–1994
Hannan, Dave | 14 | Canada | 1996–1997
Harpur, Ben | 67 | Canada | 2015–present
Havlat, Martin | 9 | Czech Republic | 2000–2006
Heatley, Dany | 15 | Canada | 2005–2009
Hemsky, Ales | 83 | Czech Republic | 2013–2014
Hennessy, Josh | 36 | United States | 2007–2010
Herperger, Chris | 33 | Canada | 2001–2002
Hill, Sean | 4 | United States | 1994–1998
Hnidy, Shane | 34 | Canada | 2000–2004
Hoffman, Mike | 68 | Canada | 2011–2018
Hossa, Marian | 18 | Slovakia | 1997–2005
Huard, Bill | 28 | Canada | 1993–1995
Huffman, Kerry | 5 | Canada | 1993–1996
Hull, Jody | 16 | Canada | 1992–19932001–2004
Jaroš, Christián | 83 | Slovakia | 2017–present
Jelínek, Tomáš | 25 | Czech Republic | 1992–1993
Johansson, Andreas | 21 | Sweden | 1998–1999
Jokipakka, Jyrki | 23 | Finland | 2016–2017
Juneau, Joe | 28 | Canada | 1999–2000
Kaigorodov, Alexei | 55 | Russia | 2006–2007
Karlsson, Erik | 65 | Sweden | 2009–2018
Kassian, Matt | 28 | Canada | 2012–2014
Kekäläinen, Jarmo | 11 | Finland | 1993–1994
Keller, Ryan | 44 | Canada | 2009–2010
Kelly, Chris | 22 | Canada | 2003–20112016–2017
Klinkhammer, Rob | 36 | Canada | 2011–2012
Konopka, Zenon | 28 | Canada | 2011–2012
Konroyd, Steve | 24 | Canada | 1993–1994
Kostka, Mike | 21 | Canada | 2015–2017
Kovalev, Alexei | 27 | Russia | 2009–2011
Kravchuk, Igor | 29 | Russia | 1997–2001
Kuba, Filip | 17 | Czech Republic | 2008–2012
Kudelski, Bob | 26 | United States | 1992–1994
Kwiatkowski, Joel | 29 | Canada | 2000–2003
Kyte, Jim | 2 | Canada | 1992–1993
Lacroix, Eric | 17 | Canada | 2000–2001
Laich, Brooks | 29 | Canada | 2003–2004
Lajoie, Max | 58 | Canada | 2018–present
Lamb, Mark | 7 | Canada | 1992–1994
Lambert, Denny | 28 | Canada | 1996–1998
Lammens, Hank | 27 | Canada | 1993–1994
Langfeld, Josh | 36 | Canada | 2001–2004
Laperrière, Daniel | 24 | Canada | 1994–1996
Lapointe, Martin | 28 | Canada | 2007–2008
Larouche, Steve | 74 | Canada | 1994–1995
Latendresse, Guillaume | 73 | Canada | 2012–2013
Lauer, Brad | 16 | Canada | 1993–1994
Lavoie, Dominic | 21 | Canada | 1992–1993
Lazar, Curtis | 27 | Canada | 2014–2017
Lazaro, Jeff | 28 | United States | 1992–1993
Leach, Steve | 28 | United States | 1998–1999
Ledyard, Grant | 2 | Canada | 1999–2000
Lee, Brian | 5 | United States | 2007–2012
Legwand, David | 17 | United States | 2014–2015
Leroux, Francois | 29 | Canada | 1993–1994
Leschyshyn, Curtis | 7 | Canada | 2000–2005
Lessard, Francis | 49 | Canada | 2010–2011
Levins, Scott | 26 | United States | 1993–1996
Lindberg, Oscar | 24 | Sweden | 2018–present
Loach, Lonnie | 24 | Canada | 1992–1993
Locke, Corey | 37 | Canada | 2010–2011
Loewen, Darcy | 10 | Canada | 1992–1994
Lundin, Mike | 10 | United States | 2012–2013
Luongo, Chris | 23 | United States | 1992–1993
MacArthur, Clarke | 16 | Canada | 2013–present
MacDonald, Kevin | 2 | Canada | 1993–1994
Maciver, Norm | 22 | Canada | 1992–1995
Malec, Tomas | 41 | Slovakia | 2005–2007
Mallette, Troy | 18 | Canada | 1993–1996
Marsh, Brad | 14 | Canada | 1992–1993
Martins, Steve | 21 | Canada | 1998–2006
Mayer, Derek | 9 | Canada | 1993–1994
McAmmond, Dean | 37 | Canada | 2006–2009
McBain, Andrew | 20 | Canada | 1992–1994
McCleary, Trent | 20 | Canada | 1995–1996
McCormick, Max | 89 | United States | 2015–2019
McEachern, Shawn | 15 | United States | 1996–2002
McGrattan, Brian | 16 | Canada | 2006–2008
McLlwain, Dave | 17 | Canada | 1993–1996
Meszaros, Andrej | 14 | Slovakia | 2006–2008
Methot, Marc | 3 | Canada | 2012–2017
Michalek, Milan | 9 | Czech Republic | 2009–2016
Miller, Brad | 55 | Canada | 1992–1993
Miller, Kevin | 21 | United States | 1999–2000
Modrý, Jaroslav | 23 | Czech Republic | 1995–1996
Muckalt, Bill | 17 | Canada | 2001–2002
Murphy, Rob | 18 | Canada | 1992–1993
Murray, Chris | 17 | Canada | 1997–1999
Murray, Troy | 33 | Canada | 1993–1995
Musil, Frank | 3 | Czech Republic | 1995–1997
Neckar, Stan | 24 | Czech Republic | 1994–1999
Neil, Chris | 25 | Canada | 2001–2017
Nikulin, Alexander | 41 | Russia | 2007–2008
Norton, Brad | 33 | United States | 2005–2006
Novak, Filip | 17 | Czech Republic | 2005–2006
Nycholat, Lawrence | 3 | Canada | 2007–2008
O'Brien, Jim | 18 | United States | 2010–20142017–present
Oduya, Johnny | 29 | Sweden | 2017–2018
Oliver, David | 12 | Canada | 1998–2001
Olsson, Christer | 23 | Sweden | 1996–1997
Osiecki, Mark | 28 | United States | 1992–1993
Pääjärvi, Magnus | 56 | Sweden | 2017–present
Paek, Jim | 2 | KOR | 1994–1995
Pageau, Jean-Gabriel | 44 | Canada | 2012–present
Pankewicz, Greg | 33 | Canada | 1993–1994
Paul, Nick | 13 | Canada | 2015–present
Payer, Serge | 43 | Canada | 2006–2007
Paynter, Kent | 3 | Canada | 1992–1994
Peluso, Mike | 44 | United States | 1992–1993
Penney, Chad | 25 | Canada | 1993–1994
Persson, Ricard | 27 | Sweden | 2000–2002
Petersson, Andre | 20 | Sweden | 2011–2014
Phaneuf, Dion | 2 | Canada | 2015–2018
Phillips, Chris | 4 | Canada | 1997–2016
Picard, Alexandre R. | 45 | Canada | 2008–2010
Picard, Michel | 49 | Canada | 1994–1996
Pitlick, Lance | 2 | United States | 1994–1999
Pothier, Brian | 2 | United States | 2002–2006
Potulny, Ryan | 21 | United States | 2010–2011
Preissing, Tom | 42 | United States | 2006–2007
Prince, Shane | 10 | United States | 2014–2016
Prospal, Vaclav | 13 | Czech Republic | 1997–2001
Puempel, Matt | 26 | Canada | 2014–2017
Pyatt, Tom | 10 | Canada | 2016–2019
Quinn, Dan | 7 | Canada | 1993–1996
Rachunek, Karel | 23 | Czech Republic | 1999–2004
Raglan, Herb | 25 | Canada | 1993–1994
Ray, Rob | 32 | Canada | 2003–2004
Redden, Wade | 6 | Canada | 1996–2008
Regin, Peter | 13 | Denmark | 2008–2013
Richardson, Luke | 2 | Canada | 2007–2008
Rivers, Jamie | 22 | Canada | 2000–2002
Robinson, Buddy | 55 | United States | 2015–2017
Robitaille, Randy | 27 | Canada | 2007–2008
Rodewald, Jack | 53 | Canada | 2017–present
Roy, André | 26 | Canada | 1999–2002
Roy, Jean-Yves | 14 | Canada | 1995–1996
Rumble, Darren | 34 | Canada | 1992–1994
Rundblad, David | 7 | Sweden | 2011–2012
Ruutu, Jarkko | 73 | Finland | 2008–2011
Růžička, Vladimír | 38 | Czech Republic | 1993–1994
Ryan, Bobby | 9 | United States | 2013–present
Salo, Sami | 5 | Finland | 1998–2002
Saprykin, Oleg | 61 | Russia | 2006–2007
Sarault, Yves | 23 | Canada | 1998–2000
Schaefer, Peter | 27 | Canada | 2002–2007
Schastlivy, Petr | 19 | Russia | 1999–2004
Schneider, Andy | 9 | Canada | 1993–1994
Schubert, Christoph | 5 | Germany | 2006–2009
Sexton, Ben | 26 | Canada | 2017–2019
Shannon, Ryan | 26 | United States | 2008–2011
Shaw, Brad | 4 | Canada | 1992–1995
Shore, Nick | 23 | United States | 2017–2018
