List of Minnesota Wild players - Wikipedia
==========================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Andrei Nazarov | Russia | 2005–2006
Nino Niederreiter | Switzerland | 2013–2019
Jeff Nielsen | United States | 2000–2001
Owen Nolan | Canada | 2008–2010
Maxim Noreau | Canada | 2009–2011
Petteri Nummelin | Finland | 2006–2008
Kai Nurminen | Finland | 2000–2001
Eric Nystrom | United States | 2010–2011
Sean O'Donnell | Canada | 2000–2001
Cal O'Reilly | Canada | 2017–2018
Patrick O'Sullivan | Canada | 2010–2011
Gustav Olofsson | Sweden | 2015–2018
Peter Olvecky | Slovakia | 2008–2009
Jed Ortmeyer | United States | 2011–2012
Jarod Palmer | United States | 2011–2012
Nick Palmieri | United States | 2011–2012
Zach Parise | United States | 2012–2019
Richard Park | South Korea | 2001–2004
Mark Parrish | United States | 2006–2008
Pavel Patera | Czech Republic | 2000–2001
Greg Pateryn | Canada | 2018–2019
Scott Pellerin | Canada | 2000–2001
Warren Peters | Canada | 2010–2012
Jason Pominville | United States | 2012–2017
Chris Porter | Canada | 2015–2016
Benoit Pouliot | Canada | 2006–2010
Darroll Powe | Canada | 2011–2013
Nate Prosser | United States | 2009–2019
Teemu Pulkkinen | Finland | 2016–2017
Kyle Quincey | Canada | 2017–2018
Branko Radivojevic | Slovakia | 2006–2008
Victor Rask | Sweden | 2018–2019
Chad Rau | United States | 2011–2012
Kyle Rau | United States | 2017–2019
Matt Read | Canada | 2018–2019
Mike Reilly | United States | 2015–2018
Eric Reitz | United States | 2005–20072008–2009
Randy Robitaille | Canada | 2005–2006
Travis Roche | Canada | 2000–20022003–2004
Stacy Roest | Canada | 2000–2002
Brian Rolston | United States | 2005–2008
Cliff Ronning | Canada | 2002–2003
Mike Rupp | United States | 2012–2014
Marco Scandella | Canada | 2010–2017
Jordan Schroeder | United States | 2014–2017
Nick Schultz | Canada | 2001–2012
John Scott | Canada | 2008–2010
Nick Seeler | United States | 2017–2019
Lubomir Sekeras | Slovakia | 2000–2003
Devin Setoguchi | Canada | 2011–2013
James Sheppard | Canada | 2007–2010
Jaime Sifers | United States | 2009–2010
Roman Simicek | Czech Republic | 2000–2002
Chris Simon | Canada | 2009–2010
Martin Skoula | Czech Republic | 2005–2009
Nathan Smith | Canada | 2006–2007
Wyatt Smith | United States | 2006–2007
Carson Soucy | Canada | 2017–2018
Jared Spurgeon | Canada | 2010–2019
Eric Staal | Canada | 2016–2019
Brad Staubitz | Canada | 2010–2012
Jeremy Stevenson | United States | 2002–2004
Cam Stewart | Canada | 2000–2001
Chris Stewart | Canada | 2014–20152016–2018
Jarret Stoll | Canada | 2015–2016
Clayton Stoner | Canada | 2009–2014
Tyson Strachan | Canada | 2015–2016
Nico Sturm | Germany | 2018–2019
Maxim Sushinski | Russia | 2000–2001
Ryan Suter | United States | 2012–2019
Brett Sutter | Canada | 2014–2015
Andy Sutton | Canada | 2000–2002
Petr Sykora | Czech Republic | 2009–2010
Jeff Taffe | United States | 2011–2012
Daniel Tjarnqvist | Sweden | 2005–2006
Jean-Guy Trudel | Canada | 2002–2003
Alex Tuch | United States | 2016–2017
Thomas Vanek | Austria | 2014–2016
Stephane Veilleux | Canada | 2002–20092011–2016
Tony Virta | Finland | 2001–2002
Aaron Voros | Canada | 2007–2008
Rickard Wallin | Sweden | 2002–2004
Wes Walz | Canada | 2000–2008
Kyle Wanvig | Canada | 2002–2006
