List of Carolina Hurricanes players - Wikipedia
===============================================
Goaltenders
___________
Malec, Tomas | Slovakia | 2002–2004
Malhotra, Manny | Canada | 2013–2014
Malik, Marek | Czech Republic | 1998–2003
Malone, Brad | Canada | 2014–2016
Manderville, Kent | Canada | 1997–2000
Markov, Danny | Russia | 2003–2004
Martinook, Jordan | Canada | 2018–2019
Martins, Steve | Canada | 1997–1998
Matsumoto, Jon | Canada | 2010–2011
McBain, Jamie | United States | 2009–2013
McCarthy, Sandy | Canada | 1999–2000
McClement, Jay | Canada | 2014–2017
McGinn, Brock | Canada | 2015–2019
McKegg, Greg | Canada | 2018–2019
McKeown, Roland | Canada | 2017–2018
Melichar, Josef | Czech Republic | 2008–2009
Mormina, Joey | Canada | 2007–2008
Murphy, Ryan | Canada | 2012–2017
Murray, Chris | Canada | 1997–1998
Murray, Marty | Canada | 2003–2004
Nakladal, Jakub | Czech Republic | 2016–2017
Nash, Riley | Canada | 2011–2016
Necas, Martin | Czech Republic | 2017–2019
Nestrasil, Andrej | Czech Republic | 2014–2017
Niederreiter, Nino | Switzerland | 2018–2019
Nodl, Andreas | Austria | 2011–2013
Nolan, Brandon | Canada | 2007–2008
Nordgren, Niklas | Sweden | 2005–2006
Nordstrom, Joakim | Sweden | 2015–2018
O'Neill, Jeff | Canada | 1997–2004
Osala, Oskar | Finland | 2009–2010
O'Sullivan, Patrick | Canada | 2010–2011
Ozolinsh, Sandis | Latvia | 2000–2002
Palushaj, Aaron | United States | 2013–2014
Pellerin, Scott | Canada | 2000–2001
Pesce, Brett | United States | 2015–2019
Petruzalek, Jakub | Czech Republic | 2008–2009
Picard, Alexandre | Canada | 2009–2010
Pitkanen, Joni | Finland | 2008–2013
Ponikarovsky, Alexei | Ukraine | 2011–2012
Pothier, Brian | United States | 2009–2010
Poturalski, Andrew | United States | 2016–2017
Pratt, Nolan | Canada | 1997–2000
Primeau, Keith | Canada | 1997–1999
Ranheim, Paul | United States | 1997–2000
Rask, Victor | Sweden | 2014–2019
Rattie, Ty | Canada | 2016–2017
Recchi, Mark | Canada | 2005–2006
Rice, Steven | Canada | 1997–1998
Richmond, Danny | United States | 2005–2006
Rissanen, Rasmus | Finland | 2014–2016
Ritchie, Byron | Canada | 1998–20002001–2002
Roberts, Gary | Canada | 1997–2000
Rodney, Bryan | Canada | 2008–2011
Rourke, Allan | Canada | 2003–2004
Roy, Nicolas | Canada | 2017–2019
Rucinski, Mike | United States | 1997–19992000–2001
Ruutu, Tuomo | Finland | 2007–2014
Ryan, Derek | United States | 2015–2018
Ryan, Michael | United States | 2008–2009
Samson, Jerome | Canada | 2009–2012
Samsonov, Sergei | Russia | 2007–2011
Sanderson, Geoff | Canada | 1997–1998
Sanguinetti, Bobby | United States | 2011–2013
Sekera, Andrej | Slovakia | 2013–2015
Seidenberg, Dennis | Germany | 2006–2009
Semin, Alexander | Russia | 2012–2015
Sheppard, Ray | Canada | 1997–1999
Shugg, Justin | Canada | 2014–2016
Skinner, Jeff | Canada | 2010–2018
Slavin, Jaccob | United States | 2015–2019
Spacek, Jaroslav | Czech Republic | 2011–2012
St. Jacques, Bruno | Canada | 2002–2004
Staal, Eric | Canada | 2003–2016
Staal, Jared | Canada | 2012–2014
Staal, Jordan | Canada | 2012–2019
Stalberg, Viktor | Sweden | 2016–2017
Stempniak, Lee | United States | 2016–2018
Stewart, Anthony | Canada | 2011–2012
Stillman, Cory | Canada | 2005–20082010–2011
Surma, Damian | United States | 2002–2004
Sutter, Brandon | United States | 2008–2012
Sutter, Brett | Canada | 2010–2014
Sutter, Brody | Canada | 2014–2016
Svechnikov, Andrei | Russia | 2018–2019
Svoboda, Jaroslav | Czech Republic | 2001–2004
Tanabe, David | United States | 1999–20032006–2008
Tennyson, Matt | United States | 2016–2017
Teravainen, Teuvo | Finland | 2016–2019
Terry, Chris | Canada | 2012–2016
Tetarenko, Joey | Canada | 2003–2004
Tolchinsky, Sergey | Russia | 2015–2017
Tlusty, Jiri | Czech Republic | 2009–2015
Tverdovsky, Oleg | Ukraine | 2005–2006
Vasicek, Josef | Czech Republic | 2000–20062006–2007[3]
Versteeg, Kris | Canada | 2015–2016
Van Riemsdyk, Trevor | United States | 2017–2019
Vrbata, Radim | Czech Republic | 2002–2006
Walker, Scott | Canada | 2006–2010
Wallace, Tim | United States | 2012–2013
Wallin, Niclas | Sweden | 2000–2010
Wallmark, Lucas | Sweden | 2016–2019
Ward, Aaron | Canada | 2001–20062009–2010
Watt, Mike | Canada | 2002–2003
Weight, Doug | United States | 2005–2006
Welsh, Jeremy | Canada | 2011–2013
Wesley, Glen | Canada | 1997–2003 2003–2008[4]
Westgarth, Kevin | Canada | 2012–2014
Westlund, Tommy | Sweden | 1999–2003
White, Ian | Canada | 2010–2011
Whitney, Ray | Canada | 2005–2010
Williams, Justin | Canada | 2003–20092017–2019
Willis, Shane | Canada | 1998–2002
Wisniewski, James | United States | 2015–2016
Woods, Brendan | Canada | 2014–2017
Yelle, Stephane | Canada | 2009–2010
Zigomanis, Mike | Canada | 2002–2006
Zykov, Valentin | Russia | 2016–2019


Total Goaltenders: 29
Total Skaters: 237
