List of Anaheim Ducks players - Wikipedia
=========================================
Goaltenders
___________
Hnidy, Shane | Canada | 2007–2008
Holan, Milos | Czech Republic | 1994–1996
Holland, Peter | Canada | 2011–2014
Holmqvist, Michael | Sweden | 2003–2004
Holzer, Korbinian | Germany | 2015–2019
Horcoff, Shawn | Canada | 2015–2016
Houda, Doug | Canada | 1997–1998
Houlder, Bill | Canada | 1993–1994
Hrkac, Tony | Canada | 1999–2001
Huskins, Kent | Canada | 2006–2009
Jackman, Ric | Canada | 2006–2007
Jackman, Tim | United States | 2013–2016
Jacques, Jean-Francois | Canada | 2011–2012
Janssens, Mark | Canada | 1996–1998
Johnson, Craig | United States | 2003–2004
Jomphe, Jean-Francois | Canada | 1995–1998
Jones, Max | United States | 2018–2019
Jonsson, Jorgen | Sweden | 1999–2000
Kariya, Paul | Canada | 1994–2003
Karlsson, William | Sweden | 2014–2015
Karpa, Dave | Canada | 1994–1998
Karpov, Valeri | Russia | 1994–1997
Kasatonov, Alexei | Russia | 1993–1994
Kase, Ondrej | Czech Republic | 2016–2019
Kelly, Chris | Canada | 2017–2018
Kerdiles, Nicolas | United States | 2016–2018
Kesler, Ryan | United States | 2014–2019
Kilger, Chad | Canada | 1995–1996
King, Jason | Canada | 2007–2008
King, Steven | United States | 1993–19941995–1996
Kjellberg, Patric | Sweden | 2001–2003
Klee, Ken | United States | 2008–2009
Kloos, Justin | United States | 2018–2019
Knutsen, Espen | Norway | 1997–1998
Kohn, Ladislav | Czech Republic | 1999–2001
Koivu, Saku | Finland | 2009–2014
Kondratiev, Maxim | Russia | 2007–2008
Konopka, Zenon | Canada | 2005–2006
Kossila, Kalle | Finland | 2016–2019
Krivokrasov, Sergei | Russia | 2001–2002
Krog, Jason | Canada | 2002–2004
Krygier, Todd | United States | 1994–1996
Kunitz, Chris | Canada | 2003–20042005–2009
Kurri, Jari | Finland | 1996–1997
Kurvers, Tom | United States | 1994–1995
Ladouceur, Randy | Canada | 1993–1996
Lambert, Denny | Canada | 1994–19962001–2002
Lapierre, Maxim | Canada | 2010–2011
Larsson, Jacob | Sweden | 2016–20172018–2019
Lebeau, Stephan | Canada | 1993–1995
Leboutillier, Peter | Canada | 1996–1998
Leclerc, Mike | Canada | 1996–2004
Liambas, Mike | Canada | 2017–2018
Lilja, Andreas | Sweden | 2010–2011
Lilley, John | United States | 1993–1996
Lindholm, Hampus | Sweden | 2013–2019
Loach, Lonnie | Canada | 1993–1994
Lombardi, Matthew | Canada | 2012–2013
Loney, Troy | Canada | 1993–1994
Lovejoy, Ben | United States | 2012–2015
Lundestrom, Isac | Sweden | 2018–2019
Lupul, Joffrey | Canada | 2003–20062009–2011
Lydman, Toni | Finland | 2010–2013
Macenauer, Maxime | Canada | 2011–2012
Mahura, Josh | Canada | 2018–2019
Manson, Josh | Canada | 2014–2019
Mara, Paul | United States | 2010–2011
Marchant, Todd | United States | 2005–2011
Marha, Josef | Czech Republic | 1997–1999
Maroon, Patrick | United States | 2011–2016
Marshall, Jason | Canada | 2003–2004
Martensson, Tony | Sweden | 2003–2004
Maxwell, Ben | Canada | 2011–2012
May, Brad | Canada | 2006–2009
McDonald, Andy | Canada | 2000–2008
McGinn, Jamie | Canada | 2015–2016
McInnis, Marty | United States | 1998–2002
McIver, Nathan | Canada | 2008–2009
McKay, Scott | Canada | 1993–1994
McKenzie, Jim | Canada | 1998–2000
McMillan, Brandon | Canada | 2010–2013
McSween, Don | United States | 1993–1996
Megna, Jaycob | United States | 2016–2019
