List of Calgary Flames players - Wikipedia
==========================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Dunn, Richie | United States | 1982–1983
DuPont, Micki | Canada | 2001–2003
Dwyer, Mike | Canada | 1980–1982
Eakin, Bruce | Canada | 1981–19821983–1985
Eakins, Dallas | United States | 2000–2002
Eaves, Mike | United States | 1983–1986
Eisenhut, Neil | Canada | 1994–1995
Eloranta, Kari | Finland | 1981–1986
Elson, Turner | Canada | 2015–2016
Engblom, Brian | Canada | 1986–1987
Engelland, Deryk | Canada | 2014–2017
Eriksson, Anders | Sweden | 2007–2009
Esau, Len | Canada | 1993–1995
Evans, Brennan | Canada | 2003–2004
Evason, Dean | Canada | 1995–1996
Fantenberg, Oscar | Sweden | 2018–2019
Fata, Rico | Canada | 1998–2001
Featherstone, Glen | Canada | 1996–1997
Fenton, Paul | United States | 1990–1991
Ference, Andrew | Canada | 2002–2007
Ference, Brad | Canada | 2006–2007
Ferguson, Craig | United States | 1995–1996
Ferland, Micheal | Canada | 2014–2018
Fleury, Theoren | Canada | 1988–1999
Foo, Spencer | Canada | 2017–2018
Forslund, Tomas | Sweden | 1991–1993
Fotiu, Nick | United States | 1985–1987
Friesen, Jeff | Canada | 2006–2007
Freer, Mark | Canada | 1993–1994
Frolik, Michael | Czech Republic | 2015–2019
Gagner, Dave | Canada | 1996–1997
Galiardi, T. J. | Canada | 2013–2014
Gaudreau, Johnny | United States | 2013–2019
Gauthier, Denis | Canada | 1997–2004
Gavey, Aaron | Canada | 1996–1998
Gelinas, Martin | Canada | 2002–2004
Germyn, Carsen | Canada | 2005–2007
Gilmour, Doug | Canada | 1988–1992
Giordano, Mark | Canada | 2005–20072008–2019
Glass, Tanner | Canada | 2017–2018
Glencross, Curtis | Canada | 2008–2015
Glynn, Brian | Germany | 1987–1990
Godard, Eric | Canada | 2006–2008
Godynyuk, Alexander | Ukraine | 1991–1993
Gould, Bobby | Canada | 1980–1982
Granlund, Markus | Finland | 2013–2016
Grant, Derek | Canada | 2015–2016
Gratton, Benoit | Canada | 1999–2001
Green, Josh | Canada | 2003–2004
Greentree, Kyle | Canada | 2008–2009
Greig, Mark | Canada | 1994–1995
Grimson, Stu | Canada | 1988–1990
Grossmann, Nicklas | Sweden | 2016–2017
Guy, Kevan | Canada | 1986–19881990–1992
Haas, David | Canada | 1993–1994
Habscheid, Marc | Canada | 1991–1992
Hagman, Niklas | Finland | 2009–2012
Hale, David | United States | 2006–2008
Hamilton, Dougie | Canada | 2015–2018
Hamilton, Freddie | Canada | 2015–2018
Hampson, Gord | Canada | 1982–1983
Hamonic, Travis | Canada | 2017–2019
Hamrlik, Roman | Czech Republic | 2005–2007
Hanifin, Noah | United States | 2018–2019
Hannan, Scott | Canada | 2011–2012
Hanowski, Ben | United States | 2012–2015
Hanson, Keith | United States | 1983–1984
Harkins, Todd | United States | 1991–1993
Harrer, Tim | United States | 1982–1983
Hathaway, Garnet | United States | 2015–2019
Hay, Dwayne | Canada | 2000–2001
Heaphy, Shawn | Canada | 1992–1993
Helenius, Sami | Finland | 1996–1999
Hentunen, Jukka | Finland | 2001–2002
Higgins, Chris | Canada | 2009–2010
Hindmarch, Dave | Canada | 1980–1985
Hislop, Jamie | Canada | 1980–1984
Hlushko, Todd | Canada | 1994–1998
Hoglund, Jonas | Sweden | 1996–1998
Holt, Randy | Canada | 1980–1982
Horak, Roman | Czech Republic | 2011–2014
Housley, Phil | United States | 1994–19961998–2001
Houston, Ken | Canada | 1980–1982
Hrdina, Jiri | Czech Republic | 1987–1991
Hrivik, Marek | Slovakia | 2017–2018
Hudler, Jiri | Czech Republic | 2012–2016
Hull, Brett | United States | 1985–1988
Hulse, Cale | Canada | 1995–20002005–2006
Hunter, Mark | Canada | 1988–1991
Hunter, Tim | Canada | 1981–1992
Huscroft, Jamie | Canada | 1995–1997
Huselius, Kristian | Sweden | 2005–2008
Iginla, Jarome | Canada | 1995–2013
Ingarfield, Earl Jr. | United States | 1980–1981
Ivanans, Raitis | Latvia | 2010–2012
Jackman, Tim | Canada | 2010–2014
Jackson, Jim | Canada | 1982–1985
Jaffray, Jason | Canada | 2009–2010
Jagr, Jaromir | Czech Republic | 2017–2018
Jalonen, Kari | Finland | 1982–1984
Jankowski, Mark | Canada | 2016–2019
Jantunen, Marko | Finland | 1996–1997
Johansson, Andreas | Sweden | 1999–2000
Johansson, Mathias | Sweden | 2002–2003
Johansson, Roger | Sweden | 1989–19911992–1993
Johnson, Aaron | Canada | 2009–2010
Johnson, Terry | Canada | 1985–1986
Jokinen, Olli | Finland | 2008–2012
Jokipakka, Jyrki | Finland | 2015–2017
Jones, Blair | Canada | 2011–2014
Jones, David | Canada | 2013–2016
Jooris, Josh | Canada | 2014–2016
Keczmer, Dan | United States | 1993–1996
Kennedy, Sheldon | Canada | 1994–1996
Kisio, Kelly | Canada | 1993–1995
Klimchuk, Morgan | Canada | 2017–2018
Knight, Corban | Canada | 2013–2014
Kobasew, Chuck | Canada | 2002–2007
Kohn, Ladislav | Czech Republic | 1995–19982002–2003
Kolanos, Krys | Canada | 2011–2012
Konroyd, Steve | Canada | 1980–19861994–1995
Korn, Jim | United States | 1989–1990
Kostopoulos, Tom | Canada | 2010–2012
Kotalik, Ales | Czech Republic | 2009–2011
Kravchuk, Igor | Russia | 2000–2002
Krivokrasov, Sergei | Russia | 1999–2000
Kromm, Richard | Canada | 1983–1986
Kronwall, Staffan | Sweden | 2009–2010
Kruse, Paul | Canada | 1990–1997
Kulak, Brett | Canada | 2014–2018
Kylington, Oliver | Sweden | 2015–20162018–2019
Kyte, Jim | Canada | 1990–1992
Labraaten, Dan | Sweden | 1980–1982
Lakovic, Sasha | Canada | 1996–1997
Lalonde, Bobby | Canada | 1981–1982
Lamb, Mark | Canada | 1985–1986
Landry, Eric | Canada | 1997–1999
Langkow, Daymond | Canada | 2005–2011
Lapointe, Claude | Canada | 1995–1996
Larose, Guy | Canada | 1993–1994
LaVallee, Kevin | Canada | 1980–1983
Lazar, Curtis | Canada | 2016–2019
Lebeau, Patrick | Canada | 1992–1993
Leclerc, Mike | Canada | 2005–2006
Leeman, Gary | Canada | 1991–1993
Lemieux, Jocelyn | Canada | 1995–1996
Leopold, Jordan | United States | 2002–20062008–2009
Lessard, Rick | Canada | 1988–19891990–1991
Letang, Alan | Canada | 2001–2002
Letourneau-Leblond, Pierre-Luc | Canada | 2011–2012
Lever, Don | Canada | 1980–1982
Lindberg, Chris | Canada | 1991–1993
Lindholm, Elias | Sweden | 2018–2019
Lindsay, Bill | Canada | 1999–2001
Lombardi, Matthew | Canada | 2003–2009
Lomberg, Ryan | Canada | 2017–2019
Loob, Hakan | Sweden | 1983–1989
Lowry, Dave | Canada | 2000–2004
Loyns, Lynn | Canada | 2003–2006
Lundmark, Jamie | Canada | 2005–20072008–2010
Lydman, Toni | Finland | 2000–2004
MacDermid, Lane | United States | 2013–2014
MacDonald, Craig | Canada | 2005–2006
MacInnis, Al | Canada | 1981–1994
MacLellan, Brian | Canada | 1988–1991
MacMillan, Bob | Canada | 1980–1982
Macoun, Jamie | Canada | 1982–1992
Makarov, Sergei | Russia | 1989–1993
Maki, Tomi | Finland | 2006–2007
Malgunas, Stewart | Canada | 1999–2000
Mangiapane, Andrew | Canada | 2017–2019
Marchment, Bryan | Canada | 2005–2006
Markwart, Nevin | Canada | 1991–1992
Marsh, Brad | Canada | 1980–1982
Matteau, Stephane | Canada | 1990–1992
May, Alan | Canada | 1994–1995
Mayers, Jamal | Canada | 2009–2010
McAdam, Gary | Canada | 1981–1982
McAmmond, Dean | Canada | 2001–2004
McCarthy, Sandy | Canada | 1993–1998
McCarty, Darren | Canada | 2005–2007
McCrimmon, Brad | Canada | 1987–1990
McDonald, Lanny | Canada | 1981–1989
McGrattan, Brian | Canada | 2009–20102012–2015
McInnis, Marty | United States | 1996–1999
McKendry, Alex | Canada | 1980–1981
Mctavish, Dale | Canada | 1996–1997
Meredith, Greg | Canada | 1980–19811982–1983
Meyer, Stefan | Canada | 2010–2011
Mikkelson, Brendan | Canada | 2010–2011
Millen, Corey | United States | 1995–1997
Miller, Brad | Canada | 1993–1994
Modin, Fredrik | Sweden | 2010–2011
Mokosak, Carl | Canada | 1981–1983
Monahan, Sean | Canada | 2013–2019
Montador, Steve | Canada | 2001–2006
Morgan, Jason | Canada | 2003–2004
Morris, Derek | Canada | 1997–2002
Morrison, Brendan | Canada | 2010–2012
Morrow, Scott | United States | 1994–1995
Moss, David | United States | 2006–2012
Mottau, Mike | United States | 2002–2003
Mrozik, Rick | United States | 2002–2003
Mullen, Joe | United States | 1985–1990
Murdoch, Bob | Canada | 1980–1982
Murray, Marty | Canada | 1995–2001
Murzyn, Dana | Canada | 1987–1991
Musil, Frank | Czech Republic | 1990–1995
Nakladal, Jakub | Czech Republic | 2015–2016
Nattress, Ric | Canada | 1987–1992
Nazarov, Andrei | Russia | 1998–2000
Neal, James | Canada | 2018–2019
Negrin, John | Canada | 2008–2009
Nemisz, Greg | Canada | 2010–2012
Nichol, Scott | Canada | 2001–2003
Nieckar, Barry | Canada | 1994–1995
Niedermayer, Rob | Canada | 2001–2003
Nieminen, Ville | Finland | 2003–2004
Nieuwendyk, Joe | Canada | 1986–1995
Nilson, Marcus | Sweden | 2003–2008
Nilsson, Kent | Sweden | 1980–1985
Nolan, Owen | Canada | 2007–2008
Norwood, Lee | United States | 1993–1994
Nylander, Michael | Sweden | 1993–19961997–1999
Nystrom, Eric | United States | 2005–20062007–2010
O'Brien, Shane | Canada | 2013–2014
Oliwa, Krzysztof | Poland | 2003–2004
Olsen, Darryl | Canada | 1991–1992
Osiecki, Mark | United States | 1991–1992
O'Sullivan, Chris | United States | 1996–1999
Otto, Joel | United States | 1984–1995
Pankewicz, Greg | Canada | 1998–1999
Pardy, Adam | Canada | 2008–2011
Paslawski, Greg | Canada | 1992–1994
Patrick, James | Canada | 1993–1998
Patterson, Colin | Canada | 1983–1991
Pelech, Matt | Canada | 2008–2009
Peluso, Anthony | United States | 2018–2019
Peluso, Mike | United States | 1997–1998
Peplinski, Jim | Canada | 1980–19901994–1995
Peters, Warren | Canada | 2008–2009
Petit, Michel | Canada | 1991–1994
Petrovicky, Ronald | Slovakia | 2000–2002
Phaneuf, Dion | Canada | 2005–2010
Piskula, Joe | United States | 2011–2012
Poirier, Emile | Canada | 2014–2017
Potter, Corey | United States | 2014–2015
Plett, Willi | Paraguay | 1980–1982
Primeau, Wayne | Canada | 2006–2009
Prust, Brandon | Canada | 2006–20072008–2010
