List of Washington Capitals players - Wikipedia
===============================================
Goaltenders
___________
Player Name     |     Nat.     |     Seasons
Eagles, Mike | None | 1994–2000
Eakin, Cody | None | 2011–2012
Edberg, Rolf | None | 1978–1981
Egers, Jack | None | 1974–1976
Eller, Lars | None | 2016–present
Elomo, Miika | None | 1999–2000
Elynuik, Pat | None | 1992–1994
Eminger, Steve | None | 2002–2008
Engblom, Brian | None | 1982–1984
Erat, Martin | None | 2012–2014
Erickson, Bryan | None | 1983–1985
Erskine, John | None | 2006–2014
Evans, Daryl | None | 1985–1986
Evason, Dean | None | 1983–1985
Fahey, Brian | None | 2010–2011
Farrell, Mike | None | 2001–2003
Fata, Rico | None | 2005–2007
Fedorov, Sergei | None | 2007–2009
Fehr, Eric | None | 2005–20112012–2015
Felix, Chris | None | 1987–1991
Ferner, Mike | None | 1989–1991
Ferraro, Chris | None | 2001–2002
Ferarro, Peter | None | 2001–2002
Fleischmann, Tomas | None | 2005–2011
Forbes, Colin | None | 2001–20042005–2006
Forbes, Dave | None | 1977–1979
Forsyth, Alex | None | 1976–1977
Fortin, Jean-Francois | None | 2001–2004
Franceschetti, Lou | None | 1981–19821983-1989
Friesen, Jeff | None | 2005–2006
Fullan, Larry | None | 1974–1975
Fussey, Owen | None | 2003–2004
Galiev, Stanislav | None | 2014–2017
Galley, Garry | None | 1986–1988
Gardner, Paul | None | 1984–1985
Gartner, Mike | None | 1979–1989
Gendron, Martin | None | 1994–1996
Gersich, Shane | None | 2017–2018
Gibson, Doug | None | 1977–1978
Gilbertson, Stan | None | 1974–1976
Girard, Bob | None | 1977–1980
Giroux, Alexandre | None | 2006–2010
Godin, Eddy | None | 1977–1979
Gonchar, Sergei | None | 1994–2004
Gordon, Boyd | None | 2003–2011
Gordon, Andrew | None | 2003–2010
Gould, Bobby | None | 1981–1989
Grabovski, Mikhail | None | 2013–2014
Grand-Pierre, Jean-Luc | None | 2003–2004
Graovac, Tyler | None | 2017–2018
Gratton, Benoit | None | 1997–1999
Green, Josh | None | 2002–2003
Green, Mike | None | 2005–2015
Green, Rick | None | 1976–1982
Greenlaw, Jeff | None | 1986–19881990–1993
Grier, Mike | None | 2002–2004
Gruden, John | None | 2003–2004
Gryp, Bob | None | 1974–1976
Gustafsson, Bengt-Ake | None | 1979–1989
Hagelin, Carl | None | 2018–Present
Hajt, Chris | None | 2003–2004
Halpern, Jeff | None | 1999–20062011–2012
Halverson, Trevor | None | 1998–1999
Hamrlik, Roman | None | 2011–2013
Hangsleben, Alan | None | 1979–1982
Hannan, Scott | None | 2010–2011
Harlock, David | None | 1997–1998
Hatcher, Kevin | None | 1984–1994
Haworth, Alan | None | 1982–1987
Hay, Dwayne | None | 1997–1998
Hebling, Timo | None | 2006–2007
Helmer, Bryan | None | 2008–2009
Henderson, Archie | None | 1980–1981
Hendricks, Matt | None | 2010–2013
Henry, Alex | None | 2002–2003
Herr, Matt | None | 1998–19992000–2001
Heward, Jamie | None | 2005–2007
Hextall, Dennis | None | 1978–1980
Hicks, Doug | None | 1981–1983
Hidi, Andre | None | 1983–1985
Hillen, Jack | None | 2012–2015
Hogue, Benoit | None | 2001–2002
Holt, Randy | None | 1981–1983
Houlder, Bill | None | 1987–1990
Housley, Phil | None | 1996–1998
Houston, Ken | None | 1982–1984
Hrycuik, Jim | None | 1974–1975
Hunt, Jamie | None | 2006–2007
Hunter, Dale | None | 1987–1999
Hunter, Mark | None | 1992–1993
Huscroft, Jamie | None | 1999–2000
Iafrate, Al | None | 1990–1994
Jagr, Jaromir | None | 2001–2004
Jarvis, Doug | None | 1982–1986
Jarvis, Wes | None | 1979–1982
Jaskin, Dmitrij | None | 2018–Present
Jennings, Grant | None | 1987–1988
Jensen, David | None | 1985–1988
Jensen, Nick | None | 2018–Present
Jerabek, Jakub | None | 2017–2018
Johansson, Calle | None | 1988–2003
Johansson, Marcus | None | 2010–2017
Johansson, Jonas | None | 2005–2006
Johnson, Craig | None | 2003–2004
Johnson, Jim | None | 1993–1996
Johnston, Jay | None | 1980–1982
Joly, Greg | None | 1974–1976
Jones, Keith | None | 1992–1997
Jones, Ron | None | 1974–1976
Joyce, Bob | None | 1989–1991
Juneau, Joe | None | 1993–1999
Jurcina, Milan | None | 2006–2009
Kaminski, Kevin | None | 1993–1997
Kane, Boyd | None | 2005–2010
Kastelic, Ed | None | 1985–1988
Kaszycki, Mike | None | 1979–1980
Kelly, Bob | None | 1980–1982
Kempny, Michal | None | 2017–Present
Khristich, Dmitri | None | 1990–19952000–2002
Kindrachuk, Orest | None | 1981–1982
King, D. J. | None | 2010–2012
Kinsella, Brian | None | 1975–1977
Klee, Ken | None | 1994–2003
Kleinendorst, Scot | None | 1988–1990
Klepis, Jakub | None | 2005–2007
Konowalchuk, Steve | None | 1991–2004
Knuble, Mike | None | 2009–2012
Kordic, John | None | 1990–1991
Kozlov, Viktor | None | 2007–2009
Kronwall, Staffan | None | 2008–2009
Krygier, Todd | None | 1991–19941995–1998
Kryskow, Dave | None | 1974–1975
Kucera, Frantisek | None | 2001–2002
Kundratek, Tomas | None | 2011–2014
Kuznetsov, Evgeny | None | 2013–Present
Kwiatkowski, Joel | None | 2002–2004
Kypreos, Nick | None | 1989–1992
Labre, Yvon | None | 1974–1981
Laframboise, Pete | None | 1974–1975
Laich, Brooks | None | 2003–2016
Laing, Quintin | None | 2007–2010
Lalonde, Ron | None | 1974–1979
Lalor, Mike | None | 1990–1992
Lampman, Mike | None | 1975–1977
Lane, Gord | None | 1975–1980
Lang, Robert | None | 2002–2004
Langway, Rod | None | 1982–1993
Larter, Tyler | None | 1989–1990
Latta, Michael | None | 2013–2016
Laughlin, Craig | None | 1982–1988
Leach, Steve | None | 1985–1991
LeBlanc, Peter | None | 2013–2014
Ledyard, Grant | None | 1987–1989
Lefebvre, Patrice | None | 1998–1999
Lehtonen, Antero | None | 1979–1980
Leinonen, Mikko | None | 1984–1985
Lemieux, Jean | None | 1975–1978
Lepisto, Sami | None | 2007–2009
Leschyshyn, Curtis | None | 1996–1997
Lesuk, Bill | None | 1974–1975
Lewington, Tyler | None | 2018–Present
Linden, Trevor | None | 2000–2002
Lofthouse, Mark | None | 1977–1981
Lovsin, Ken | None | 1990–1991
Lowdermilk, Dwayne | None | 1980–1981
Lundrigan, Joe | None | 1974–1975
Lynch, Jack | None | 1974–1979
MacDermid, Paul | None | 1991–1993
MacKinnon, Paul | None | 1979–1984
Majesky, Ivan | None | 2005–2006
Malgunas, Stewart | None | 1995–1999
Maltais, Steve | None | 1989–1991
Marshall, Jason | None | 2000–2001
Marson, Mike | None | 1974–1979
Martin, Grant | None | 1985–1987
Maruk, Dennis | None | 1978–1983
Mathieson, Jim | None | 1989–1990
May, Alan | None | 1989–1994
McAdam, Gary | None | 1983–1984
McEwen, Mike | None | 1984–1985
McGeough, Jim | None | 1981–19821984–1985
McKechnie, Walt | None | 1977–1978
McKenzie, Jim | None | 1999–2000
McLean, Don | None | 1975–1976
McTaggart, Jim | None | 1980–1982
Meehan, Gerry | None | 1975–1979
Melanson, Dean | None | 2001–2002
Metropolit, Glen | None | 1999–2003
Mikkelson, Bill | None | 1974–19751976–1977
Millar, Mike | None | 1988–1989
Miller, Kelly | None | 1986–1999
Miller, Kevin | None | 1992–1993
Miller, Kip | None | 2002–2004
Mink, Graham | None | 2003–2009
Mironov, Dmitri | None | 1998–2001
Mohns, Doug | None | 1974–1975
Monahan, Hartland | None | 1975–1977
Moore, Barrie | None | 1999–2000
Morrison, Brendan | None | 2009–2010
Morrison, Lew | None | 1974–1975
Morrisonn, Shaone | None | 2003–2010
Motzko, Joe | None | 2007–2008
Muir, Bryan | None | 2005–2007
Mulhern, Ryan | None | 1997–1998
Mulvey, Paul | None | 1978–1981
Murphy, Joe | None | 1999–2001
Murphy, Larry | None | 1983–1989
Murray, Rob | None | 1989–1991
Murray, Terry | None | 1981–1982
Myhres, Brantt | None | 2000–2001
Nelson, Jeff | None | 1994–1996
