List of Los Angeles Kings players - Wikipedia
=============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Kyle Clifford | Canada | 2010–2019
Steve Clippingdale | Canada | 1976—1977
Richard Clune | Canada | 2009—2010
Paul Coffey | Canada | 1991—1993
Pat Conacher | Canada | 1992—1996
Craig Conroy | United States | 2005—2007
Brandon Convery | Canada | 1998—1999
Mike Corbett | Canada | 1967—1968
Bob Corkum | United States | 1999—2001
Mike Corrigan | Canada | 1967—1976
Joe Corvo | United States | 2002—2006
Russ Courtnall | Canada | 1997—1999
Sylvain Couturier | Canada | 1988—1992
Jeff Cowan | Canada | 2003—2007
Rob Cowie | Canada | 1994—1996
Bart Crashley | Canada | 1975—1976
Andrew Crescenzi | Canada | 2017—2018
Doug Crossman | Canada | 1988—1989
Gary Croteau | Canada | 1968—1970
Keith Crowder | Canada | 1989—1990
Troy Crowder | Canada | 1994—1996
Phil Crowe | Canada | 1993—1994
Dan Currie | Canada | 1993—1994
Glen Currie | Canada | 1985—1988
Paul Curtis | Canada | 1970—1973
Kevin Dallman | Canada | 2006—2008
Adam Deadmarsh | United States | 2000—2003
Dale DeGray | Canada | 1988—1989
Ab DeMarco | Canada | 1975—1977
Pavol Demitra | Slovakia | 2005—2006
Nathan Dempsey | Canada | 2003—20042005—2006
Peter Dineen | Canada | 1986—1987
Marcel Dionne | Canada | 1975—1987
Paul DiPietro | Canada | 1996—1997
Ted Donato | United States | 2001—2002
Mike Donnelly | United States | 1990—1995
Drew Doughty | Canada | 2008—2019
Nic Dowd | United States | 2015—2018
Davis Drewiske | United States | 2008—2013
John Druce | Canada | 1993—1996
Steve Duchesne | Canada | 1986—19911998—1999
Dick Duff | Canada | 1969—1971
Marc Dufour | Canada | 1968—1969
Donald Dufresne | Canada | 1993—1994
Ron Duguay | Canada | 1987—1989
Craig Duncanson | Canada | 1985—1990
Darryl Edestrand | Canada | 1977—1979
Christian Ehrhoff | Germany | 2015—2016
Todd Elik | Canada | 1989—1991
Corey Elkins | United States | 2009—2010
Keaton Ellerby | Canada | 2012—2013
Matt Ellis | Canada | 2007—2008
Mikko Eloranta | Finland | 2001—2003
Nelson Emerson | Canada | 1999—2002
Brian Engblom | Canada | 1983—1986
John English | Canada | 1987—1988
Bryan Erickson | United States | 1985—1988
Daryl Evans | Canada | 1981—1985
Oscar Fantenberg | Sweden | 2018—2019
Paul Fenton | United States | 1987—1989
Ray Ferraro | Canada | 1995—1999
Steven Finn | Canada | 1995—1997
Bill Flett | Canada | 1967—1972
Ryan Flinn | Canada | 2001—20032005—2006
Gerry Foley | United States | 1968—1969
Christian Folin | Sweden | 2017—2018
Derek Forbort | United States | 2015—2019
Marc Fortier | Canada | 1992—1993
Jim Fox | Canada | 1980—1990
Colin Fraser | Canada | 2011—2014
Matt Frattin | Canada | 2013—2014
Marian Gaborik | Slovakia | 2013—2018
Simon Gagne | Canada | 2011—2012
Garry Galley | Canada | 1984—19871997—2000
Dave Gans | Canada | 1982—19831985—1986
Scott Garland | Canada | 1978—1979
Denis Gauthier | Canada | 2008—2009
Gabe Gauthier | United States | 2006—2008
Eric Germain | Canada | 1987—1988
Barry Gibbs | Canada | 1979—1980
John Gibson | Canada | 1980—1982
Tom Gilbert | United States | 2016—2017
Randy Gilhen | Germany | 1991—1992
Pierre Giroux | Canada | 1982—1983
Jeff Giuliano | United States | 2005—2008
Bob Gladney | Canada | 1982—1983
Tim Gleason | United States | 2003—2006
Brian Glennie | Canada | 1978—1979
Glenn Goldup | Canada | 1976—1982
Butch Goring | Canada | 1969—1980
Tony Granato | United States | 1989—1996
Danny Grant | Canada | 1977—1979
Dan Gratton | Canada | 1987—1988
Kevin Gravel | United States | 2015—2017
Terry Gray | Canada | 1967—1968
Denis Grebeshkov | Russia | 2003—2006
Josh Green | Canada | 1998—1999
Matt Greene | United States | 2008—2017
Lucien Grenier | Canada | 1970—1972
Wayne Gretzky | Canada | 1988—1996
Brent Grieve | Canada | 1996—1997
Stu Grimson | Canada | 2000—2001
Scott Gruhl | Canada | 1981—1983
Carl Grundstrom | Sweden | 2018—2019
Paul Guay | United States | 1985—1989
Len Hachborn | Canada | 1985—1986
Carl Hagelin | Sweden | 2018—2019
Anders Hakansson | Sweden | 1983—1986
Bob Halkidis | Canada | 1989—1991
Jeff Halpern | United States | 2009—2010
Doug Halward | Canada | 1978—1981
Gilles Hamel | Canada | 1988—1989
Ken Hammond | Canada | 1984—1988
Rick Hampton | Canada | 1978—1980
Michal Handzus | Slovakia | 2007—2011
Alan Hangsleben | United States | 1981—1982
Mark Hardy | Canada | 1979—19881993—1994
Terry Harper | Canada | 1972—1975
Billy Harris | Canada | 1979—1984
Peter Harrold | United States | 2006—2011
Rick Hayward | Canada | 1990—1991
Mark Heaslip | United States | 1978—1979
Mike Heidt | Canada | 1983—1984
Steve Heinze | United States | 2001—2003
Peter Helander | Sweden | 1982—1983
Jamie Heward | Canada | 2006—2007
Dennis Hextall | Canada | 1969—1970
Ernie Hicke | Canada | 1977—1978
Jim Hiller | Canada | 1992—1993
Larry Hillman | Canada | 1971—1972
Justin Hocking | Canada | 1993—1994
Phil Hoene | United States | 1972—1975
Jim Hofford | Canada | 1988—1989
Dale Hoganson | Canada | 1969—1972
Jason Holland | Canada | 2001—2004
Warren Holmes | Canada | 1981—1984
Randy Holt | Canada | 1978—1980
Dean Hopkins | Canada | 1979—1983
Doug Houda | Canada | 1993—1994
Ken Houston | Canada | 1983—1984
Harry Howell | Canada | 1970—1973
Don Howse | Canada | 1979—1980
Bill Huard | Canada | 1999—2000
Charlie Huddy | Canada | 1991—1995
Brent Hughes | Canada | 1967—1970
Howie Hughes | Canada | 1967—1970
Trent Hunter | Canada | 2011—2012
Dave Hutchison | Canada | 1974—1978
Alex Iafallo | United States | 2017—2019
Jarome Iginla | Canada | 2016—2017
Bill Inglis | Canada | 1967—1969
Ted Irvine | Canada | 1967—1970
Ulf Isaksson | Sweden | 1982—1983
Raitis Ivanans | Latvia | 2006—2010
Tim Jackman | United States | 2006—2007
Connor James | Canada | 2005—2006
Wes Jarvis | Canada | 1983—1984
Bob Jay | United States | 1993—1994
Dean Jenkins | United States | 1983—1984
Steve Jensen | United States | 1978—1982
Trevor Johansen | Canada | 1981—1982
Craig Johnson | United States | 1995—2003
Jack Johnson | United States | 2006—2012
Jim Johnson | Canada | 1971—1972
Matt Johnson | Canada | 1994—1999
Larry Johnston | Canada | 1967—1968
Jussi Jokinen | Finland | 2017—2018
Olli Jokinen | Finland | 1997—1999
Brad Jones | United States | 1990—1991
Randy Jones | Canada | 2009—2010
Eddie Joyal | Canada | 1967—1972
Frantisek Kaberle | Czech Republic | 1999—2000
Petr Kanko | Czech Republic | 2005—2006
Sheldon Kannegiesser | Canada | 1973—1977
Jere Karalahti | Finland | 1999—2002
Kyosti Karjalainen | Sweden | 1991—1992
Steve Kasper | Canada | 1988—1991
John-Paul Kelly | Canada | 1979—1986
Steve Kelly | Canada | 2000—2004
Adrian Kempe | Sweden | 2016—2019
Dean Kennedy | Canada | 1982—1989
Dmitri Khristich | Ukraine | 1995—1997
Brian Kilrea | Canada | 1967—1968
Dwight King | Canada | 2010–2017
Trent Klatt | United States | 2003—2004
Jon Klemm | Canada | 2007—2008
Petr Klima | Czech Republic | 1996—1997
Neil Komadoski | Canada | 1972—1978
Chris Kontos | Canada | 1987—1990
Anze Kopitar | Slovenia | 2006—2019
Jerry Korab | Canada | 1979—1983
Tom Kostopoulos | Canada | 2005—2007
Ilya Kovalchuk | Russia | 2018—2019
Don Kozak | Canada | 1972—1978
Skip Krake | Canada | 1968—1970
Mike Krushelnyski | Canada | 1988—1991
Bob Kudelski | United States | 1987—1993
Jari Kurri | Finland | 1991—1996
Maxim Kuznetsov | Kazakhstan | 2002—2004
Gord Labossiere | Canada | 1967—1971
Eric Lacroix | Canada | 1994—1999
Paul LaDue | United States | 2016—2019
Nathan LaFayette | Canada | 1995—1999
