List of San Jose Sharks players - Wikipedia
===========================================
Goaltenders
___________
Name     |     Nationality     |     GP
Craig Janney |  United States | 1994–1996
Jeff Jillson |  United States | 2001–2003
Derek Joslin |  Canada | 2008–2011
Evander Kane |  Canada | 2017–2019
Erik Karlsson |  Sweden | 2018-2019
Melker Karlsson |  Sweden | 2014–2019
Lukas Kaspar |  Czech Republic | 2007–2009
Bracken Kearns |  Canada | 2012–2014
Tim Kennedy |  United States | 2012–2013
Kelly Kisio |  Canada | 1991–1993
Dean Kolstad |  Canada | 1992–1993
Alexander Korolyuk |  Russia | 1997–2004
Viktor Kozlov |  Russia | 1994–1998
Ryan Kraft |  Canada | 2002–2003
Mikhail Kravets |  Russia | 1991–1993
Vlastimil Kroupa |  Czech Republic | 1993–1997
Paul Kruse |  Canada | 2000–2001
Jim Kyte |  Canada | 1994–1996
Kevin Labanc |  United States | 2016–2019
Mike Lalor |  Canada | 1993–1994
Josh Langfeld |  United States | 2005–2006
Peter Lappin |  United States | 1991–1992
Igor Larionov |  Russia | 1993–1996
Brian Lawton |  Canada | 1991–1993
Jay Leach |  United States | 2009–2010
Claude Lemieux |  Canada | 2008–2009
Bryan Lerg |  United States | 2014–2016
Rick Lessard |  Canada | 1991–1992
Bill Lindsay |  Canada | 2000–2001
Chris LiPuma |  United States | 1996–1997
Dave Lowry |  Canada | 1997–2000
Lynn Loyns |  Canada | 2002–2004
Brad Lukowich |  Canada | 2008–2009
John MacLean |  Canada | 1997–1998
Pat MacLeod |  Canada | 1991–1993
Sergei Makarov |  Russia | 1993–1995
David Maley |  United States | 1992–1994
Manny Malhotra |  Canada | 2009–2010
Bryan Marchment |  Canada | 1997–2003
Patrick Marleau |  Canada | 1997–2017
Paul Martin |  United States | 2015–2018
Jason Marshall |  Canada | 2003–2004
Brandon Mashinter |  Canada | 2010–2011
Stephane Matteau |  Canada | 1997–2002
Jamal Mayers |  Canada | 2010–2011
John McCarthy |  United States | 2009–2016
Alyn McCauley |  Canada | 2002–2006
Hubie McDonough |  United States | 1992–1993
Bob McGill |  Canada | 1991–1992
Dan McGillis |  United States | 2002–2003
Jamie McGinn |  Canada | 2008–2012
Mike McHugh |  United States | 1991–1992
Kyle McLaren |  Canada | 2002–2008
Frazer McLaren |  Canada | 2009–2013
Jeff McLean |  Canada | 1993–1994
Marty McSorley |  Canada | 1996–1998
Timo Meier |   Switzerland | 2016–2019
Milan Michalek |  Czech Republic | 2003–2009
Jacob Middleton |  Canada | 2018–2019
Kevin Miller |  United States | 1994–1996
Kip Miller |  United States | 1993–1994
Torrey Mitchell |  Canada | 2007–2012
Travis Moen |  Canada | 2008–2009
Jim Montgomery |  Canada | 2000–2001
Dominic Moore |  Canada | 2011–2012
Mike Moore |  Canada | 2010–2011
Jayson More |  Canada | 1991–1996
Jon Morris |  United States | 1992–1993
Brian Mullen |  United States | 1991–1992
Mirco Mueller |   Switzerland | 2014–2017
Joe Murphy |  Canada | 1997–1999
Andrew Murray |  Canada | 2011–2012
Douglas Murray |  Sweden | 2005–2013
Brantt Myhres |  Canada | 1998–2000
Andrei Nazarov |  Russia | 1993–1998
Scott Nichol |  Canada | 2009–2011
Bernie Nicholls |  Canada | 1996–1999
Ville Nieminen |  Finland | 2005–2007
Matthew Nieto |  United States | 2013–2017
Owen Nolan |  Canada | 1995–2003
Jeff Norton |  United States | 1993–19951998–2001
Gustav Nyquist |  Sweden | 2018–2019
Jeff Odgers |  Canada | 1991–1996
Daniel O'Regan |  United States | 2016–2018
Jed Ortmeyer |  United States | 2009–2010
Jaroslav Otevrel |  Czech Republic | 1992–1994
Sandis Ozolinsh |  Latvia | 1992–19952007–2008
Scott Parker |  United States | 2003–2007
Mark Pavelich |  United States | 1991–1992
Joe Pavelski |  United States | 2006–2019
Mark Pederson |  Canada | 1992–1993
Tom Pederson |  United States | 1992–1996
Matt Pelech |  Canada | 2012–2014
Ville Peltonen |  Finland | 1995–1997
Nick Petrecki |  United States | 2012–2013
Michel Picard |  Canada | 1992–1993
Tomas Plihal |  Czech Republic | 2006–2009
Barry Potomski |  Canada | 1997–1998
Tom Preissing |  United States | 2003–2006
Wayne Presley |  United States | 1991–1992
Wayne Primeau |  Canada | 2002–2006
J. F. Quintin |  Canada | 1991–1993
Yves Racine |  Canada | 1995–1996
Lukas Radil |  Czech Republic | 2018–2019
Marcus Ragnarsson |  Sweden | 1995–2003
Mike Rathje |  Canada | 1993–2004
Mike Ricci |  Canada | 1997–2004
Patrick Rissmiller |  United States | 2003–2008
Craig Rivet |  Canada | 2006–2008
Jeremy Roenick |  United States | 2007–2009
Bob Rouse |  Canada | 1998–2000
Joakim Ryan |  United States | 2017–2019
Mikael Samuelsson |  Sweden | 2000–2001
John Scott |  Canada | 2014–2015
David Schlemko |  Canada | 2016–2017
Claudio Scremin |  Canada | 1991–1993
Teemu Selanne |  Finland | 2000–2003
Alexei Semenov |  Russia | 2007–2009
Devin Setoguchi |  Canada | 2007–2011
Jody Shelley |  Canada | 2007–2010
James Sheppard |  Canada | 2012–2015
Ray Sheppard |  Canada | 1995–1996
Radim Simek |  Czech Republic | 2018–2019
Jarrod Skalde |  Canada | 1997–1999
Petri Skriko |  Finland | 1992–1993
Ben Smith |  United States | 2014–2016
Mark Smith |  Canada | 2000–2007
Dave Snuggerud |  United States | 1991–1993
Marcus Sorensen |  Sweden | 2016–2019
Nick Spaling |  Canada | 2015–2016
Brad Staubitz |  Canada | 2008–2010
Ronnie Stern |  Canada | 1998–2000
Grant Stevenson |  Canada | 2005–2006
Karl Stollery |  Canada | 2014–2015
Brad Stuart |  Canada | 1999–20062012–2014
Marco Sturm |  Germany | 1997–2006
Mike Sullivan |  United States | 1991–1994
Niklas Sundstrom |  Sweden | 1999–2003
Antti Suomela |  Finland | 2018–2019
Gary Suter |  Canada | 1998–2002
Ron Sutter |  Canada | 1996–2000
Andy Sutton |  Canada | 1998–2000
Ken Sutton |  Canada | 1997–1998
Michal Sykora |  Czech Republic | 1993–1997
Chris Tancill |  United States | 1994–1997
Daniil Tarasov |  Russia | 2014–2015
Matt Tennyson |  United States | 2012–2016
Joe Thornton |  Canada | 2005–2019
Scott Thornton |  Canada | 2000–2006
Chris Tierney |  Canada | 2014–2018
Raffi Torres |  Canada | 2012–2015
Darren Turcotte |  United States | 1995–1997
Jim Vandermeer |  Canada | 2011–2012
Ryan Vesce |  United States | 2008–2009
Marc-Edouard Vlasic |  Canada | 2006–2019
Niclas Wallin |  Sweden | 2009–2011
Joel Ward |  Canada | 2015–2018
Kyle Wellwood |  Canada | 2010–2011
Colin White |  Canada | 2011–2012
