List of New Jersey Devils players - Wikipedia
=============================================
Goaltenders
___________
Player Name     |     Nat     |     Seasons
Helgeson, Seth | None | 2014–2017
Henrique, Adam | None | 2010–2018
Hepple, Alan | None | 1983–1986
Hiemer, Uli | None | 1984–1987
Higgins, Tim | None | 1983–1986
Hischer, Nico | None | 2017–2019
Hoffmeyer, Bob | None | 1983–1985
Holik, Bobby | None | 1992–20022008–2009
Housley, Phil | None | 1995–1996
Howatt, Garry | None | 1982–1984
Hrabarenka, Raman | None | 2014–2015
Hrdina, Jan | None | 2003–2004
Hulse, Cale | None | 1995–1996
Huscroft, Jamie | None | 1988–1991
Hutchison, Dave | None | 1982–1983
Jagr, Jaromir | None | 2013–2015
Jacobs, Joshua | None | 2018–2019
Janssen, Cam | None | 2005–20082011–2014
Johannson, John | None | 1983–1984
Johansson, Marcus | None | 2017–2019
Johnson, Mark | None | 1985–1990
Josefson, Jacob | None | 2010–2017
Kamensky, Valeri | None | 2001–2002
Kalinin, Sergey | None | 2015–2017
Kasatonov, Alexei | None | 1989–1993
Kelly, Steve | None | 1999–2001
Kennedy, Tyler | None | 2015–2016
Kitchen, Mike | None | 1982–1984
Klee, Ken | None | 2005–2006
Korn, Jim | None | 1987–1990
Kostopoulos, Tom | None | 2012–2013
Kovalchuk, Ilya | None | 2009–2013
Kozlov, Viktor | None | 2003–2006
Kroupa, Vlastimil | None | 1997–1998
Kurvers, Tom | None | 1987–1990
LaCouture, Dan | None | 2006–2007
Lakovic, Sasha | None | 1997–1999
Langdon, Darren | None | 2005–2006
Langenbrunner, Jamie | None | 2001–2011
Lappin, Nick | None | 2016–2019
Larionov, Igor | None | 2003–2004
Larmer, Jeff | None | 1982–1984
Larsson, Adam | None | 2011–2016
Leach, Jay | None | 2008–2011
Lemieux, Claude | None | 1990–19951999–2000
Lemieux, Jocelyn | None | 1995–1996
Lenardon, Tim | None | 1986–1987
Letorneau-Leblond, Pierre-Luc | None | 2008–2011
Lever, Don | None | 1982–1985
Levo, Tapio | None | 1982–1983
Lewis, Dave | None | 1983–1986
Loiselle, Claude | None | 1986–1989
Loktionov, Andrei | None | 2012–2014
