List of Philadelphia Flyers players - Wikipedia
===============================================
Goaltenders
___________
Name     |     Nationality     |     Seasons
Tomas Divisek |  Czech Republic | 2
Brian Dobbin |  Canada | 4
Jiri Dopita |  Czech Republic | 1
Gary Dornhoefer |  Canada | 11
Jim Dowd |  United States | 1
Steve Downie |  Canada | 3
Rene Drolet |  Canada | 1
John Druce |  Canada | 3
Steve Duchesne |  Canada | 2
Blake Dunlop |  Canada | 2
Andre Dupont |  Canada | 8
Yanick Dupre |  Canada | 3
Miroslav Dvorak |  Czech Republic | 3
Karl Dykhuis |  Canada | 5
Ben Eager |  Canada | 3
Mark Eaton |  United States | 1
Darryl Edestrand |  Canada | 1
Pelle Eklund |  Sweden | 9
Matt Ellison |  Canada | 2
Steve Eminger |  Canada | 1
Thomas Eriksson |  Sweden | 5
Doug Evans |  Canada | 1
Paul Evans |  Canada | 3
Pat Falloon |  Canada | 3
Andre Faust |  Canada | 2
Todd Fedoruk |  Canada | 5
Ruslan Fedotenko |  Ukraine | 3
Brent Fedyk |  Canada | 4
David Fenyves |  Canada | 4
Valtteri Filppula |  Finland | 2
Jeff Finley |  Canada | 1
Craig Fisher |  Canada | 2
Rory Fitzpatrick |  Canada | 1
Ross Fitzpatrick |  Canada | 4
Reg Fleming |  Canada | 1
Bill Flett |  Canada | 3
Ron Flockhart |  Canada | 4
Rick Foley |  Canada | 1
Christian Folin |  Sweden | 1
Colin Forbes |  Canada | 3
Peter Forsberg |  Sweden | 2
Corey Foster |  Canada | 1
Kurtis Foster |  Canada | 1
Nick Fotiu |  United States | 1
Mark Freer |  Canada | 5
Mark Friedman |  Canada | 1
Jamie Fritsch |  United States | 1
Simon Gagne |  Canada | 11
Sam Gagner |  Canada | 1
Garry Galley |  Canada | 4
Dave Gardner |  Canada | 1
Denis Gauthier |  Canada | 2
Jean Gauthier |  Canada | 1
Jean-Guy Gendron |  Canada | 5
Bruno Gervais |  Canada | 1
Hal Gill |  United States | 1
Don Gillen |  Canada | 1
Jere Gillis |  United States | 1
Claude Giroux |  Canada | 12
Larry Goodenough |  Canada | 3
Boyd Gordon |  Canada | 1
Tom Gorence |  United States | 5
Shayne Gostisbehere |  United States | 5
Tyrell Goulbourne |  Canada | 2
Triston Grant |  Canada | 1
Chris Gratton |  Canada | 2
Josh Gratton |  Canada | 2
Kyle Greentree |  Canada | 1
Mark Greig |  Canada | 4
Martin Grenier |  Canada | 1
Nicklas Grossmann |  Sweden | 4
Paul Guay |  United States | 2
Radko Gudas |  Czech Republic | 4
Nate Guenin |  United States | 3
Erik Gustafsson |  Sweden | 4
Len Hachborn |  Canada | 2
Robert Hagg |  Sweden | 3
Larry Hale |  Canada | 4
Adam Hall |  United States | 2
Kevin Haller |  Canada | 3
Denis Hamel |  Canada | 1
Michal Handzus |  Slovakia | 3
John Hanna |  Canada | 1
Pat Hannigan |  Canada | 2
Jeff Harding |  Canada | 2
Ted Harris |  Canada | 1
Ryan Hartman |  United States | 1
Scott Hartnell |  Canada | 7
Derian Hatcher |  United States | 3
Dale Hawerchuk |  Canada | 2
Greg Hawgood |  Canada | 2
Paul Healey |  Canada | 2
Earl Heiskala |  Canada | 3
Wayne Hicks |  United States | 1
Al Hill |  Canada | 8
Larry Hillman |  Canada | 2
Wayne Hillman |  Canada | 4
Jan Hlavac |  Czech Republic | 1
Todd Hlushko |  Canada | 1
Ed Hoekstra |  Canada | 1
Bob Hoffmeyer |  Canada | 2
Milos Holan |  Czech Republic | 1
Paul Holmgren |  United States | 9
Ben Holmstrom |  United States | 2
Randy Holt |  Canada | 1
Tony Horacek |  Canada | 3
Ed Hospodar |  United States | 3
Martin Hostak |  Czech Republic | 2
Mark Howe |  United States | 10
Dave Hoyda |  Canada | 2
Petr Hubacek |  Czech Republic | 1
Willie Huber |  Germany | 1
Kerry Huffman |  Canada | 7
Brent Hughes |  Canada | 3
Jody Hull |  Canada | 3
Kent Huskins |  Canada | 1
Gord Hynes |  Canada | 1
Jaromir Jagr |  Czech Republic | 1
Chris Jensen |  Canada | 3
Jim Johnson |  Canada | 5
Kim Johnsson |  Sweden | 4
Blair Jones |  Canada | 1
Brad Jones |  United States | 1
Keith Jones |  Canada | 3
Randy Jones |  Canada | 5
Lars Jonsson |  Sweden | 1
Chris Joseph |  Canada | 2
Eddie Joyal |  Canada | 1
Patrik Juhlin |  Sweden | 2
Jon Kalinski |  Canada | 2
Tomi Kallio |  Finland | 1
Boyd Kane |  Canada | 3
Sami Kapanen |  Finland | 5
Steve Kasper |  Canada | 2
Pat Kavanagh |  Canada | 1
Larry Keenan |  Canada | 1
Bob Kelly |  Canada | 10
Forbes Kennedy |  Canada | 2
Tim Kerr |  Canada | 11
Orest Kindrachuk |  Canada | 6
Trent Klatt |  United States | 4
Corban Knight |  Canada | 1
Mike Knuble |  United States | 5
Matt Konan |  United States | 1
Travis Konecny |  Canada | 3
Dan Kordic |  Canada | 6
Andrei Kovalenko |  Russia | 1
Lukas Krajicek |  Czech Republic | 1
Pavel Kubina |  Czech Republic | 1
Frantisek Kucera |  Czech Republic | 1
Lasse Kukkonen |  Finland | 3
Dale Kushner |  Canada | 2
Normand Lacombe |  Canada | 2
Andre Lacroix |  Canada | 4
Daniel Lacroix |  Canada | 2
Claude LaForge |  Canada | 2
Serge Lajeunesse |  Canada | 2
David Laliberte |  Canada | 1
Mark Lamb |  Canada | 2
Mitch Lamoureux |  Canada | 1
Daymond Langkow |  Canada | 3
Jeff Lank |  Canada | 1
Ian Laperriere |  Canada | 1
Claude Lapointe |  Canada | 2
Rick Lapointe |  Canada | 3
Jiri Latal |  Czech Republic | 3
Scott Laughton |  Canada | 6
Oliver Lauridsen |  Denmark | 2
Kirby Law |  Canada | 3
Paul Lawless |  Canada | 1
Reggie Leach |  Canada | 8
Vincent Lecavalier |  Canada | 3
John LeClair |  United States | 10
Guillaume Lefebvre |  Canada | 2
Jori Lehtera |  Finland | 2
Taylor Leier |  Canada | 3
Ville Leino |  Finland | 2
Bill Lesuk |  Canada | 2
Andreas Lilja |  Sweden | 2
Oskar Lindblom |  Sweden | 2
Eric Lindros |  Canada | 8
Ken Linseman |  Canada | 5
Andrei Lomakin |  Russia | 2
Ross Lonsberry |  Canada | 7
Danny Lucas |  Canada | 1
Joffrey Lupul |  Canada | 2
Roman Lyubimov |  Russia | 1
Al MacAdam |  Canada | 1
Andrew MacDonald |  Canada | 6
Rick MacLeish |  Canada | 12
Ian MacNeil |  Canada | 1
Ralph MacSweyn |  Canada | 5
Craig MacTavish |  Canada | 2
Kevin Maguire |  Canada | 1
Jim Mair |  Canada | 2
Vladimir Malakhov |  Russia | 1
Stewart Malgunas |  Canada | 2
Kent Manderville |  Canada | 3
Mike Maneluk |  Canada | 2
Brandon Manning |  Canada | 6
Moe Mantha |  United States | 2
Danny Markov |  Russia | 1
Brad Marsh |  Canada | 7
Kevin Marshall |  Canada | 1
Danick Martel |  Canada | 1
Chris McAllister |  Canada | 3
Dean McAmmond |  Canada | 1
Kevin McCarthy |  Canada | 4
Sandy McCarthy |  Canada | 2
Brad McCrimmon |  Canada | 5
Colin McDonald |  United States | 2
Ryan McGill |  Canada | 3
Dan McGillis |  Canada | 6
Tye McGinn |  Canada | 2
Jack McIlhargey |  Canada | 5
Evgeny Medvedev |  Russia | 1
Gerry Meehan |  Canada | 1
Scott Mellanby |  Canada | 6
Eric Meloche |  Canada | 1
Andrej Meszaros |  Slovakia | 4
Glen Metropolit |  Canada | 1
Freddy Meyer |  United States | 3
Dave Michayluk |  Canada | 2
Larry Mickey |  Canada | 1
John Miszuk |  Poland | 2
Jaroslav Modry |  Czech Republic | 1
Carl Mokosak |  Canada | 1
Jim Montgomery |  Canada | 2
Samuel Morin |  Canada | 3
Gary Morrison |  United States | 3
Lew Morrison |  Canada | 3
Glenn Mulvenna |  Canada | 1
Gord Murphy |  Canada | 4
Marty Murray |  Canada | 2
Mike Murray |  Canada | 1
Pat Murray |  Canada | 2
Terry Murray |  Canada | 4
Philippe Myers |  Canada | 1
Brantt Myhres |  Canada | 1
Don Nachbaur |  Canada | 5
Ric Nattress |  Canada | 1
Petr Nedved |  Czech Republic | 2
Kris Newbury |  Canada | 1
Janne Niinimaa |  Finland | 2
Andreas Nodl |  Austria | 4
Simon Nolet |  Canada | 7
Sean O'Donnell |  Canada | 1
Will O'Neill |  United States | 1
Adam Oates |  Canada | 1
Gino Odjick |  Canada | 2
Johnny Oduya |  Sweden | 1
Randy Osburn |  Canada | 1
Joel Otto |  Canada | 3
John Paddock |  Canada | 3
Rosaire Paiement |  Canada | 3
Ryan Parent |  Canada | 4
Michel Parizeau |  Canada | 1
Richard Park |  United States | 1
Greg Paslawski |  Canada | 1
Joe Paterson |  Canada | 2
Nolan Patrick |  Canada | 2
Dennis Patterson |  Canada | 1
Mark Pederson |  Canada | 3
Roger Pelletier |  Canada | 1
Mike Peluso |  United States | 1
Garry Peters |  Canada | 4
Michel Petit |  Canada | 1
Alexandre Picard |  Canada | 3
Michel Picard |  Canada | 1
Joni Pitkanen |  Finland | 3
Derek Plante |  United States | 1
Pierre Plante |  Canada | 2
Vaclav Pletka |  Czech Republic | 1
Shjon Podein |  United States | 5
Ryan Potulny |  United States | 3
Jean Potvin |  Canada | 2
Dave Poulin |  Canada | 8
Darroll Powe |  Canada | 3
Yves Preston |  Canada | 2
Keith Primeau |  Canada | 6
David Printz |  Sweden | 2
Chris Pronger |  Canada | 3
Brian Propp |  Canada | 11
Vaclav Prospal |  Czech Republic | 3
Ivan Provorov |  Russia | 3
Mika Pyorala |  Finland | 1
Dan Quinn |  Canada | 2
Yves Racine |  Canada | 1
Branko Radivojevic |  Slovakia | 2
Nate Raduns |  United States | 1
Michael Raffl |  Austria | 6
Marcus Ragnarsson |  Sweden | 2
Rob Ramage |  Canada | 1
Paul Ranheim |  United States | 3
Mike Rathje |  Canada | 2
Matt Read |  Canada | 7
Ryan Ready |  Canada | 1
Mark Recchi |  Canada | 10
Darren Reid |  Canada | 1
Mikael Renberg |  Sweden | 6
Mike Ricci |  Canada | 2
Mike Richards |  Canada | 6
Luke Richardson |  Canada | 5
Dave Richter |  Canada | 1
Zac Rinaldo |  Canada | 5
Bob Ritchie |  Canada | 1
Gordie Roberts |  United States | 1
Randy Robitaille |  Canada | 1
Leon Rochefort |  Canada | 2
Jeremy Roenick |  United States | 3
Russ Romaniuk |  Canada | 1
Bill Root |  Canada | 1
Jay Rosehill |  Canada | 2
Jared Ross |  United States | 2
Magnus Roupe |  Sweden | 2
Darren Rumble |  Canada | 3
Stefan Ruzicka |  Slovakia | 3
Shaun Sabol |  United States | 1
Joe Sacco |  United States | 1
Don Saleski |  Canada | 8
Kjell Samuelsson |  Sweden | 9
Ulf Samuelsson |  Sweden | 1
Scott Sandelin |  United States | 1
Geoff Sanderson |  Canada | 1
Travis Sanheim |  Canada | 2
Dick Sarrazin |  Canada | 3
Andre Savage |  Canada | 1
Brian Savage |  Canada | 1
Luca Sbisa |   Switzerland | 1
Brayden Schenn |  Canada | 6
Luke Schenn |  Canada | 4
Cliff Schmautz |  Canada | 1
Danny Schock |  Canada | 1
Dave Schultz |  Canada | 5
Nick Schultz |  Canada | 3
Glen Seabrooke |  Canada | 3
Al Secord |  Canada | 1
Dennis Seidenberg |  Germany | 3
Brit Selby |  Canada | 2
Anatoli Semenov |  Russia | 2
Tom Sestito |  United States | 2
Patrick Sharp |  Canada | 3
Jody Shelley |  Canada | 3
Mike Siklenka |  Canada | 1
Mike Sillinger |  Canada | 2
Jon Sim |  Canada | 1
Wayne Simmonds |  Canada | 8
Reid Simpson |  Canada | 1
Ilkka Sinisalo |  Finland | 9
Bob Sirois |  Canada | 2
