List of New York Islanders players - Wikipedia
==============================================
Goaltenders
___________
Player Name     |     Nationality     |     Seasons
Matt Donovan | United States | 2011—2015
Jamie Doornbosch | Canada | 2010—2011
Jim Dowd | United States | 1996—1997
Jude Drouin | Canada | 1974—1978
Ted Drury | United States | 1999—2000
Dallas Eakins | United States | 1999—2000
Mark Eaton | United States | 2010—2012
Jordan Eberle | Canada | 2017—Present
John Erskine | Canada | 2005—2006
Shawn Evans | Canada | 1989—1990
Drew Fata | Canada | 2006—2008
Ruslan Fedotenko | Ukraine | 2007—2008
Chris Ferraro | Canada | 1999—2000
Ray Ferraro | Canada | 1990—1995
Jeff Finley | Canada | 1987—1992
Joe Finley | United States | 2012—2013
Valtteri Filppula | Finland | 2018—Present
Tom Fitzgerald | United States | 2012—2013
Patrick Flatley | Canada | 1983—1996
Mark Flood | Canada | 2009—2010
Dave Fortier | Canada | 1974—1976
Corey Foster | Canada | 1996—1997
Iain Fraser | Canada | 1992—1993
Jamie Fraser | Canada | 2008—2009
Mitch Fritz | Canada | 2008—2009
Tanner Fritz | Canada | 2017—Present
Paul Gagne | Canada | 1989—1990
Germain Gagnon | Canada | 1972—1974
Brett Gallant | Canada | 2013—2014
Garry Galley | Canada | 2000—2001
Bruno Gervais | Canada | 2005—2011
Greg Gilbert | Canada | 1981—1989
Clark Gillies | Canada | 1974—1986
Trevor Gillies | Canada | 2009—2012
Ray Giroux | Canada | 1999—20002001—2002
Eric Godard | Canada | 2002—2006
Butch Goring | Canada | 1975—1985
Michael Grabner | Austria | 2010—2015
Mikhail Grabovski | Belarus | 2014—2016
Denis Grebeshkov | Russia | 2005—2006
Josh Green | Canada | 1999—2000
Rick Green | Canada | 1991—1992
Travis Green | Canada | 1992—1998
Richard Grenier | Canada | 1972—1973
Brent Grieve | Canada | 1993—1994
Jari Grönstrand | Finland | 1989—1991
Paul Guay | United States | 1990—1991
Bill Guerin | United States | 2007—2009
Ari Haanpaa | Finland | 1985—1988
Sean Haggerty | United States | 1997—19981999—2000
Micheal Haley | Canada | 2009—2012
Bob Halkidis | Canada | 1995—1996
Kevin Haller | Canada | 2000—2002
Mats Hallin | Sweden | 1982—1985
Mike Halmo | Canada | 2013—2014
Jeff Hamilton | United States | 2003—2006
Travis Hamonic | Canada | 2010—2017
Roman Hamrlik | Czech Republic | 2000—2004
Mark Hamway | United States | 1984—1987
Ron Handy | Canada | 1984—1985
Richie Hansen | United States | 1976—1979
David Harlock | Canada | 1998—1999
Billy Harris | Canada | 1972—1980
Gerry Hart | Canada | 1972—1979
Neil Hawryliw | Canada | 1981—1982
Raimo Helminen | Finland | 1988—1989
Darby Hendrickson | United States | 1995—1996
Lorne Henning | Canada | 1972—1981
Dale Henry | Canada | 1984—1990
Ian Herbers | Canada | 1999—2000
Jason Herter | Canada | 1995—1996
Jamie Heward | Canada | 1999—2000
Ernie Hicke | Canada | 1983—1984
Thomas Hickey | Canada | 2012—Present
